,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
23,world wide web,1.0,1.0,1.0,1.0,0.293,0.489,0.373,0.583,0.6,0.6,0.667,0.65,0.56,0.533,0.486,0.475,0.467,0.46,0.6,0.7,0.733,0.7,0.6,0.567,0.514,0.5,0.511,0.56
24,gibbs sampling,1.0,1.0,1.0,1.0,0.124,0.247,0.131,0.247,0.4,0.4,0.4,0.35,0.4,0.333,0.314,0.325,0.289,0.28,0.4,0.4,0.4,0.35,0.4,0.333,0.314,0.325,0.311,0.3
25,user interface,1.0,1.0,1.0,1.0,0.176,0.416,0.176,0.416,0.4,0.6,0.4,0.45,0.36,0.367,0.343,0.35,0.356,0.36,0.4,0.6,0.4,0.45,0.36,0.367,0.343,0.35,0.356,0.36
26,belief propagation,1.0,1.0,1.0,1.0,0.053,0.1,0.059,0.1,0.2,0.1,0.133,0.1,0.16,0.167,0.171,0.175,0.222,0.2,0.2,0.1,0.133,0.1,0.16,0.167,0.171,0.2,0.244,0.22
27,interpolation,0.5,0.5,0.5,0.5,0.045,0.079,0.045,0.079,0.2,0.2,0.133,0.15,0.16,0.167,0.143,0.2,0.2,0.2,0.2,0.2,0.133,0.15,0.16,0.167,0.143,0.2,0.2,0.2
28,wavelet transform,1.0,1.0,1.0,1.0,0.068,0.12,0.102,0.23,0.2,0.2,0.133,0.2,0.28,0.267,0.229,0.25,0.244,0.22,0.4,0.3,0.2,0.25,0.32,0.3,0.257,0.275,0.267,0.26
29,transfer of learning,1.0,1.0,1.0,1.0,0.128,0.35,0.128,0.35,0.6,0.4,0.4,0.3,0.28,0.267,0.229,0.225,0.222,0.28,0.6,0.4,0.4,0.3,0.28,0.267,0.229,0.225,0.222,0.28
30,topic model,0.25,0.25,0.25,0.25,0.03,0.025,0.03,0.025,0.2,0.1,0.133,0.15,0.16,0.133,0.114,0.125,0.156,0.18,0.2,0.1,0.133,0.15,0.16,0.133,0.114,0.125,0.156,0.18
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,0.319,0.482,0.351,0.482,0.6,0.6,0.467,0.5,0.48,0.533,0.514,0.525,0.556,0.54,0.6,0.6,0.467,0.5,0.52,0.567,0.543,0.55,0.578,0.58
32,game theory,0.167,0.167,0.167,0.167,0.042,0.079,0.049,0.079,0.0,0.3,0.2,0.2,0.2,0.2,0.171,0.2,0.2,0.18,0.0,0.3,0.2,0.2,0.24,0.233,0.2,0.225,0.222,0.2
