,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
23,world wide web,1.0,1.0,0.567,0.637,1.0,0.6,1.0,0.7
24,gibbs sampling,1.0,1.0,0.254,0.254,0.6,0.4,0.6,0.4
25,user interface,1.0,1.0,0.363,0.363,0.4,0.5,0.4,0.5
26,belief propagation,1.0,1.0,0.122,0.122,0.2,0.2,0.2,0.2
27,interpolation,1.0,1.0,0.133,0.133,0.2,0.2,0.2,0.2
28,wavelet transform,1.0,1.0,0.122,0.233,0.2,0.2,0.4,0.3
29,transfer of learning,1.0,1.0,0.2,0.2,0.4,0.2,0.4,0.2
30,topic model,0.333,0.333,0.073,0.073,0.4,0.2,0.4,0.2
31,clustering high-dimensional data,1.0,1.0,0.608,0.608,0.8,0.7,0.8,0.7
32,game theory,0.167,0.167,0.042,0.042,0.0,0.2,0.0,0.2
33,biometrics,1.0,1.0,0.275,0.325,0.6,0.3,0.6,0.4
34,constraint satisfaction,1.0,1.0,0.321,0.321,0.6,0.5,0.6,0.5
35,combinatorial optimization,0.111,0.125,0.031,0.065,0.0,0.2,0.0,0.3
36,speech processing,1.0,1.0,0.183,0.369,0.4,0.3,0.6,0.5
37,multi-agent system,1.0,1.0,0.4,0.4,0.8,0.4,0.8,0.4
38,mean field theory,1.0,1.0,0.2,0.2,0.4,0.2,0.4,0.2
39,social network,1.0,1.0,0.556,0.556,0.6,0.7,0.6,0.7
40,lattice model,0.0,1.0,0.0,0.14,0.0,0.0,0.4,0.2
41,automatic image annotation,1.0,1.0,0.12,0.12,0.2,0.2,0.2,0.2
42,computational geometry,0.333,1.0,0.117,0.62,0.4,0.3,0.8,0.7
43,Evolutionary algorithm,0.143,1.0,0.014,0.493,0.0,0.1,0.6,0.7
44,web search query,0.0,1.0,0.0,0.569,0.0,0.0,0.8,0.6
45,eye tracking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,query optimization,1.0,1.0,0.344,0.344,0.6,0.4,0.6,0.4
47,logic programming,0.5,0.5,0.05,0.292,0.2,0.1,0.2,0.6
48,Hyperspectral imaging,1.0,1.0,0.133,0.133,0.2,0.2,0.2,0.2
49,Bayesian statistics,0.125,1.0,0.012,0.9,0.0,0.1,1.0,0.9
50,kernel density estimation,1.0,1.0,0.233,1.0,0.4,0.4,1.0,1.0
51,learning to rank,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
52,relational database,1.0,1.0,0.486,1.0,0.6,0.6,1.0,1.0
53,activity recognition,0.0,0.111,0.0,0.011,0.0,0.0,0.0,0.1
54,wearable computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,big data,1.0,1.0,0.416,0.492,0.6,0.6,0.6,0.7
56,ensemble learning,1.0,1.0,0.129,0.129,0.2,0.2,0.2,0.2
57,wordnet,0.333,0.333,0.083,0.083,0.4,0.2,0.4,0.2
58,medical imaging,1.0,1.0,0.202,0.879,0.2,0.4,1.0,0.9
59,deconvolution,1.0,1.0,0.1,0.727,0.2,0.1,0.8,0.8
60,Latent Dirichlet allocation,0.143,0.5,0.014,0.166,0.0,0.1,0.2,0.4
61,Euclidian distance,0.0,1.0,0.0,0.375,0.0,0.0,0.4,0.6
62,web service,0.0,0.5,0.0,0.313,0.0,0.0,0.4,0.6
63,multi-task learning,0.167,0.167,0.177,0.177,0.0,0.5,0.0,0.5
64,Linear separability,0.0,1.0,0.0,0.866,0.0,0.0,1.0,0.9
65,OWL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Wireless sensor network,0.5,1.0,0.116,0.348,0.2,0.3,0.4,0.5
67,Semantic role labeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Continuous-time Markov chain,1.0,1.0,0.1,0.468,0.2,0.1,0.8,0.6
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.518,0.0,0.0,0.8,0.6
70,Propagation of uncertainty,1.0,1.0,0.1,0.26,0.2,0.1,0.6,0.3
71,Fast Fourier transform,1.0,1.0,0.155,0.29,0.2,0.3,0.4,0.5
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.0,1.0,0.0,0.382,0.0,0.0,0.6,0.5
75,Knowledge extraction,0.5,1.0,0.227,0.684,0.6,0.4,0.8,0.8
76,Computational biology,0.5,1.0,0.207,0.575,0.4,0.4,0.6,0.7
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.5,1.0,0.1,0.462,0.4,0.2,0.8,0.5
79,Video denoising,0.143,0.143,0.037,0.037,0.0,0.2,0.0,0.2
80,Quantum information science,0.5,1.0,0.192,0.586,0.6,0.3,1.0,0.6
81,Color quantization,0.125,0.333,0.012,0.092,0.0,0.1,0.2,0.3
82,social web,0.143,1.0,0.039,0.556,0.0,0.2,0.6,0.7
83,entity linking,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
84,information privacy,1.0,1.0,0.43,0.43,0.8,0.5,0.8,0.5
85,random forest,1.0,1.0,0.26,0.26,0.6,0.3,0.6,0.3
86,cloud computing,0.125,0.125,0.012,0.012,0.0,0.1,0.0,0.1
87,Knapsack problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Linear algebra,0.333,1.0,0.033,0.78,0.2,0.1,1.0,0.8
89,batch processing,0.1,0.1,0.01,0.01,0.0,0.1,0.0,0.1
90,rule induction,0.0,0.143,0.0,0.014,0.0,0.0,0.0,0.1
91,Uncertainty quantification,0.0,1.0,0.0,0.563,0.0,0.0,0.8,0.7
92,Computer architecture,1.0,1.0,0.198,0.79,0.2,0.4,0.8,0.9
93,Best-first search,0.167,0.167,0.017,0.017,0.0,0.1,0.0,0.1
94,Gaussian random field,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.3
95,Support vector machine,1.0,1.0,0.7,0.7,1.0,0.7,1.0,0.7
96,ontology language,0.0,0.5,0.0,0.187,0.0,0.0,0.4,0.4
97,machine translation,0.0,1.0,0.0,0.631,0.0,0.0,0.6,0.8
98,middleware,1.0,1.0,0.122,0.122,0.2,0.2,0.2,0.2
99,Newton's method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
