,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
75,Knowledge extraction,1.0,1.0,0.261,0.852,0.2,0.5,1.0,0.9
76,Computational biology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,1.0,1.0,0.125,0.866,0.2,0.2,1.0,0.9
79,Video denoising,1.0,1.0,0.405,0.405,0.8,0.5,0.8,0.5
80,Quantum information science,0.5,1.0,0.33,1.0,0.6,0.5,1.0,1.0
81,Color quantization,0.5,1.0,0.07,0.866,0.2,0.2,1.0,0.9
82,social web,1.0,1.0,0.25,1.0,0.6,0.4,1.0,1.0
83,entity linking,1.0,1.0,0.155,0.155,0.2,0.3,0.2,0.3
84,information privacy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,random forest,1.0,1.0,0.757,0.757,0.8,0.9,0.8,0.9
86,cloud computing,1.0,1.0,0.604,0.604,0.8,0.7,0.8,0.7
87,Knapsack problem,0.111,0.111,0.031,0.031,0.0,0.2,0.0,0.2
88,Linear algebra,0.5,1.0,0.41,1.0,0.8,0.6,1.0,1.0
89,batch processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,rule induction,0.0,0.167,0.0,0.017,0.0,0.0,0.0,0.1
91,Uncertainty quantification,0.0,1.0,0.0,0.815,0.0,0.0,0.8,0.9
92,Computer architecture,0.25,1.0,0.045,1.0,0.2,0.2,1.0,1.0
93,Best-first search,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
94,Gaussian random field,1.0,1.0,0.319,0.381,0.6,0.4,0.6,0.5
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,0.5,1.0,0.2,1.0,0.6,0.4,1.0,1.0
97,machine translation,1.0,1.0,0.815,1.0,0.8,0.9,1.0,1.0
98,middleware,0.333,0.333,0.21,0.21,0.6,0.4,0.6,0.4
99,Newton's method,1.0,1.0,0.8,0.8,1.0,0.8,1.0,0.8
