,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
23,world wide web,1.0,1.0,1.0,1.0,0.674,0.717,0.766,0.717,0.8,0.8,0.867,0.85,0.88,0.867,0.8,0.775,0.778,0.8,0.8,0.8,0.867,0.85,0.88,0.9,0.857,0.85,0.867,0.88
24,gibbs sampling,1.0,1.0,1.0,1.0,0.448,0.757,0.448,0.757,0.8,0.9,0.8,0.65,0.6,0.633,0.657,0.675,0.644,0.62,0.8,0.9,0.8,0.65,0.6,0.633,0.657,0.675,0.644,0.62
25,user interface,1.0,1.0,1.0,1.0,0.606,0.671,0.696,0.815,0.6,0.8,0.8,0.8,0.84,0.767,0.8,0.75,0.733,0.76,0.8,0.9,0.933,0.9,0.92,0.833,0.857,0.8,0.778,0.8
26,belief propagation,1.0,1.0,1.0,1.0,0.439,0.67,0.519,0.89,1.0,0.7,0.533,0.65,0.72,0.667,0.571,0.575,0.622,0.62,1.0,0.9,0.667,0.75,0.8,0.733,0.629,0.625,0.667,0.66
27,interpolation,0.1,0.1,0.1,0.1,0.004,0.01,0.004,0.01,0.0,0.1,0.067,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.0,0.1,0.067,0.1,0.08,0.067,0.057,0.05,0.044,0.04
28,wavelet transform,0.333,0.333,0.333,0.333,0.248,0.139,0.248,0.139,0.2,0.4,0.533,0.55,0.56,0.567,0.571,0.5,0.511,0.48,0.2,0.4,0.533,0.55,0.56,0.567,0.571,0.5,0.511,0.48
29,transfer of learning,1.0,1.0,1.0,1.0,0.496,0.9,0.496,0.9,1.0,0.9,0.733,0.75,0.68,0.7,0.714,0.7,0.622,0.62,1.0,0.9,0.733,0.75,0.68,0.7,0.714,0.7,0.622,0.62
30,topic model,1.0,1.0,1.0,1.0,0.133,0.206,0.133,0.206,0.2,0.4,0.4,0.5,0.4,0.433,0.371,0.325,0.311,0.3,0.2,0.4,0.4,0.5,0.4,0.433,0.371,0.325,0.311,0.3
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,0.539,1.0,0.539,1.0,1.0,1.0,1.0,0.85,0.8,0.833,0.771,0.7,0.644,0.6,1.0,1.0,1.0,0.85,0.8,0.833,0.771,0.7,0.644,0.6
32,game theory,0.143,0.143,0.143,0.143,0.413,0.113,0.429,0.113,0.0,0.4,0.533,0.5,0.6,0.633,0.686,0.7,0.689,0.7,0.0,0.4,0.533,0.5,0.6,0.633,0.686,0.7,0.711,0.72
