,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
23,world wide web,1.0,1.0,1.0,1.0,0.843,0.9,0.864,0.9,1.0,0.9,0.933,0.95,0.96,0.967,0.971,0.975,0.889,0.88,1.0,0.9,0.933,0.95,0.96,0.967,0.971,0.975,0.911,0.9
24,gibbs sampling,1.0,1.0,1.0,1.0,0.553,0.815,0.553,0.815,0.8,0.9,0.867,0.9,0.76,0.733,0.686,0.675,0.689,0.68,0.8,0.9,0.867,0.9,0.76,0.733,0.686,0.675,0.689,0.68
25,user interface,0.5,0.5,1.0,1.0,0.493,0.441,0.65,0.8,0.8,0.6,0.667,0.7,0.64,0.667,0.686,0.675,0.689,0.72,1.0,0.8,0.867,0.85,0.76,0.767,0.771,0.75,0.756,0.78
26,belief propagation,1.0,1.0,1.0,1.0,0.536,0.8,0.782,0.9,1.0,0.8,0.733,0.65,0.6,0.667,0.714,0.725,0.711,0.7,1.0,0.9,0.8,0.8,0.84,0.867,0.886,0.875,0.889,0.88
27,interpolation,1.0,1.0,1.0,1.0,0.047,0.125,0.057,0.158,0.2,0.2,0.133,0.1,0.16,0.133,0.229,0.2,0.178,0.16,0.2,0.3,0.2,0.15,0.2,0.167,0.257,0.225,0.2,0.18
28,wavelet transform,1.0,1.0,1.0,1.0,0.694,1.0,0.776,1.0,1.0,1.0,1.0,0.9,0.84,0.8,0.8,0.775,0.8,0.78,1.0,1.0,1.0,0.9,0.88,0.867,0.886,0.85,0.867,0.84
29,transfer of learning,1.0,1.0,1.0,1.0,0.622,0.671,0.622,0.671,0.8,0.8,0.8,0.85,0.8,0.833,0.829,0.8,0.756,0.76,0.8,0.8,0.8,0.85,0.8,0.833,0.829,0.8,0.756,0.76
30,topic model,1.0,1.0,1.0,1.0,0.512,0.9,0.529,0.9,1.0,0.9,0.867,0.85,0.84,0.833,0.743,0.65,0.622,0.58,1.0,0.9,0.867,0.85,0.84,0.833,0.771,0.675,0.644,0.6
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,0.705,1.0,0.721,1.0,1.0,1.0,1.0,0.95,0.92,0.867,0.857,0.825,0.8,0.76,1.0,1.0,1.0,0.95,0.92,0.867,0.857,0.825,0.8,0.78
32,game theory,0.5,0.5,0.5,0.5,0.723,0.707,0.78,0.707,0.8,0.9,0.867,0.85,0.84,0.867,0.886,0.9,0.889,0.84,0.8,0.9,0.933,0.9,0.88,0.9,0.914,0.925,0.911,0.88
33,biometrics,1.0,1.0,1.0,1.0,0.798,1.0,0.825,1.0,1.0,1.0,0.933,0.9,0.92,0.9,0.886,0.9,0.889,0.86,1.0,1.0,0.933,0.9,0.92,0.933,0.914,0.925,0.911,0.88
34,constraint satisfaction,1.0,1.0,1.0,1.0,0.828,1.0,0.853,1.0,1.0,1.0,1.0,1.0,1.0,0.967,0.914,0.9,0.844,0.86,1.0,1.0,1.0,1.0,1.0,0.967,0.943,0.925,0.867,0.88
35,combinatorial optimization,0.333,0.333,0.333,0.333,0.108,0.2,0.188,0.2,0.6,0.4,0.4,0.35,0.36,0.333,0.286,0.325,0.289,0.26,0.6,0.4,0.533,0.55,0.56,0.5,0.429,0.45,0.4,0.36
36,speech processing,1.0,1.0,1.0,1.0,0.84,1.0,0.921,1.0,1.0,1.0,0.933,0.9,0.92,0.9,0.914,0.925,0.911,0.9,1.0,1.0,0.933,0.95,0.96,0.933,0.943,0.95,0.956,0.96
37,multi-agent system,1.0,1.0,1.0,1.0,0.722,1.0,0.722,1.0,1.0,1.0,0.867,0.85,0.88,0.867,0.857,0.85,0.844,0.8,1.0,1.0,0.867,0.85,0.88,0.867,0.857,0.85,0.844,0.8
38,mean field theory,1.0,1.0,1.0,1.0,0.405,0.616,0.44,0.616,0.8,0.7,0.733,0.8,0.76,0.733,0.686,0.6,0.533,0.52,0.8,0.7,0.733,0.8,0.8,0.767,0.714,0.625,0.556,0.56
39,social network,1.0,1.0,1.0,1.0,0.858,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.967,0.943,0.9,0.911,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.978,0.98
40,lattice model,0.062,0.0,1.0,1.0,0.009,0.0,0.278,0.616,0.0,0.0,0.0,0.1,0.12,0.1,0.114,0.1,0.089,0.08,0.8,0.7,0.533,0.5,0.48,0.567,0.571,0.5,0.444,0.42
41,automatic image annotation,1.0,1.0,1.0,1.0,0.742,1.0,0.742,1.0,1.0,1.0,0.8,0.85,0.88,0.9,0.886,0.9,0.867,0.82,1.0,1.0,0.8,0.85,0.88,0.9,0.886,0.9,0.867,0.82
42,computational geometry,1.0,1.0,1.0,1.0,0.44,0.7,0.646,1.0,0.8,0.8,0.867,0.7,0.68,0.633,0.571,0.625,0.6,0.6,1.0,1.0,1.0,0.85,0.84,0.8,0.714,0.75,0.733,0.74
43,Evolutionary algorithm,1.0,1.0,1.0,1.0,0.612,1.0,0.895,1.0,1.0,1.0,0.933,0.85,0.8,0.8,0.771,0.75,0.711,0.7,1.0,1.0,1.0,0.95,0.96,0.967,0.971,0.975,0.933,0.92
44,web search query,0.0,0.0,1.0,1.0,0.0,0.0,0.975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.978,0.98
45,eye tracking,1.0,1.0,1.0,1.0,0.69,0.866,0.845,0.866,1.0,0.9,0.933,0.85,0.84,0.867,0.857,0.825,0.8,0.78,1.0,0.9,0.933,0.85,0.88,0.9,0.914,0.925,0.911,0.92
46,query optimization,1.0,1.0,1.0,1.0,0.44,0.89,0.801,0.89,1.0,0.9,0.733,0.75,0.68,0.733,0.714,0.65,0.6,0.54,1.0,0.9,0.933,0.95,0.96,0.967,0.971,0.95,0.889,0.84
47,logic programming,1.0,1.0,1.0,1.0,0.792,1.0,0.934,1.0,1.0,1.0,1.0,0.95,0.96,0.933,0.857,0.875,0.822,0.84,1.0,1.0,1.0,0.95,0.96,0.967,0.943,0.95,0.956,0.96
48,Hyperspectral imaging,1.0,1.0,1.0,1.0,0.516,0.9,0.516,0.9,1.0,0.9,0.867,0.7,0.56,0.633,0.686,0.65,0.667,0.66,1.0,0.9,0.867,0.7,0.56,0.633,0.686,0.65,0.667,0.66
49,Bayesian statistics,1.0,1.0,1.0,1.0,0.369,0.663,0.972,1.0,1.0,0.7,0.6,0.6,0.64,0.7,0.6,0.55,0.533,0.52,1.0,1.0,1.0,1.0,1.0,1.0,0.971,0.975,0.978,0.98
50,kernel density estimation,0.5,0.5,1.0,1.0,0.543,0.511,0.908,1.0,0.8,0.7,0.733,0.8,0.8,0.7,0.714,0.75,0.756,0.72,1.0,1.0,0.933,0.95,0.96,0.967,0.943,0.95,0.956,0.94
51,learning to rank,1.0,1.0,1.0,1.0,0.616,1.0,0.616,1.0,1.0,1.0,0.933,0.95,0.88,0.8,0.714,0.725,0.689,0.7,1.0,1.0,0.933,0.95,0.88,0.8,0.714,0.725,0.689,0.7
52,relational database,1.0,1.0,1.0,1.0,0.868,1.0,0.974,1.0,1.0,1.0,1.0,1.0,0.96,0.967,0.943,0.9,0.889,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.978,0.98
53,activity recognition,1.0,1.0,1.0,1.0,0.557,0.758,0.557,0.758,1.0,0.8,0.733,0.8,0.68,0.733,0.771,0.75,0.733,0.7,1.0,0.8,0.733,0.8,0.68,0.733,0.771,0.75,0.733,0.7
54,wearable computer,1.0,1.0,1.0,1.0,0.287,0.491,0.287,0.491,0.8,0.6,0.667,0.65,0.52,0.533,0.486,0.55,0.489,0.44,0.8,0.6,0.667,0.65,0.52,0.533,0.486,0.55,0.489,0.44
55,big data,1.0,1.0,1.0,1.0,0.423,0.567,0.582,0.866,1.0,0.6,0.667,0.7,0.68,0.667,0.657,0.675,0.644,0.58,1.0,0.9,0.867,0.85,0.84,0.8,0.771,0.775,0.756,0.68
56,ensemble learning,1.0,1.0,1.0,1.0,0.095,0.125,0.095,0.125,0.2,0.2,0.2,0.2,0.28,0.267,0.286,0.275,0.289,0.3,0.2,0.2,0.2,0.2,0.28,0.267,0.286,0.275,0.289,0.3
57,wordnet,0.5,0.5,0.5,0.5,0.042,0.05,0.119,0.258,0.2,0.1,0.067,0.15,0.16,0.167,0.171,0.175,0.2,0.2,0.6,0.4,0.267,0.3,0.28,0.3,0.286,0.275,0.311,0.3
58,medical imaging,1.0,1.0,1.0,1.0,0.862,1.0,0.926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971,0.925,0.911,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.971,0.95,0.956,0.94
59,deconvolution,0.25,0.25,1.0,1.0,0.148,0.065,0.591,0.758,0.4,0.2,0.333,0.35,0.4,0.367,0.343,0.375,0.4,0.4,1.0,0.8,0.867,0.75,0.76,0.7,0.686,0.725,0.733,0.74
60,Latent Dirichlet allocation,1.0,1.0,1.0,1.0,0.554,0.89,0.802,0.89,1.0,0.9,0.733,0.6,0.64,0.7,0.714,0.7,0.711,0.72,1.0,0.9,0.867,0.85,0.84,0.867,0.857,0.875,0.889,0.9
61,Euclidian distance,0.0,0.0,1.0,1.0,0.0,0.0,0.396,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.733,0.8,0.76,0.7,0.6,0.6,0.578,0.52
62,web service,0.5,0.5,1.0,1.0,0.3,0.415,0.757,1.0,0.8,0.6,0.533,0.5,0.52,0.533,0.514,0.525,0.533,0.52,1.0,1.0,0.933,0.85,0.88,0.833,0.857,0.825,0.844,0.84
63,multi-task learning,1.0,1.0,1.0,1.0,0.561,1.0,0.561,1.0,1.0,1.0,0.8,0.75,0.64,0.7,0.686,0.725,0.689,0.7,1.0,1.0,0.8,0.75,0.64,0.7,0.686,0.725,0.689,0.7
64,Linear separability,0.0,0.0,0.333,0.333,0.0,0.0,0.469,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.733,0.8,0.76,0.667,0.686,0.675,0.689,0.66
65,OWL-S,0.333,0.333,0.333,0.333,0.04,0.058,0.04,0.058,0.2,0.2,0.133,0.15,0.16,0.233,0.229,0.2,0.2,0.18,0.2,0.2,0.133,0.15,0.16,0.233,0.229,0.2,0.2,0.18
66,Wireless sensor network,1.0,1.0,1.0,1.0,0.821,0.89,0.821,0.89,1.0,0.9,0.8,0.85,0.88,0.9,0.914,0.925,0.933,0.9,1.0,0.9,0.8,0.85,0.88,0.9,0.914,0.925,0.933,0.9
67,Semantic role labeling,1.0,1.0,1.0,1.0,0.427,0.879,0.427,0.879,1.0,0.9,0.8,0.65,0.64,0.6,0.571,0.55,0.578,0.58,1.0,0.9,0.8,0.65,0.64,0.6,0.571,0.55,0.578,0.58
68,Continuous-time Markov chain,0.25,0.25,1.0,1.0,0.017,0.025,0.911,1.0,0.2,0.1,0.133,0.1,0.08,0.067,0.086,0.075,0.111,0.12,1.0,1.0,1.0,1.0,0.96,0.967,0.914,0.925,0.933,0.94
69,Open Knowledge Base Connectivity,0.0,0.0,1.0,1.0,0.0,0.0,0.673,0.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.867,0.8,0.76,0.767,0.8,0.8,0.8,0.82
70,Propagation of uncertainty,0.05,0.0,1.0,1.0,0.002,0.0,0.07,0.25,0.0,0.0,0.0,0.05,0.04,0.033,0.029,0.05,0.044,0.04,0.4,0.4,0.333,0.3,0.24,0.2,0.171,0.175,0.178,0.16
71,Fast Fourier transform,1.0,1.0,1.0,1.0,0.428,0.653,0.57,0.776,1.0,0.7,0.533,0.6,0.64,0.7,0.686,0.65,0.622,0.6,1.0,0.8,0.667,0.7,0.76,0.8,0.771,0.725,0.711,0.72
72,Security token,0.333,0.333,0.333,0.333,0.007,0.033,0.007,0.033,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.125,0.125,0.5,0.5,0.002,0.012,0.462,0.46,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.6,0.7,0.733,0.75,0.76,0.767,0.771,0.7,0.667,0.64
75,Knowledge extraction,1.0,1.0,1.0,1.0,0.099,0.234,0.54,0.648,0.4,0.4,0.267,0.2,0.28,0.333,0.286,0.275,0.267,0.26,0.8,0.8,0.867,0.8,0.8,0.8,0.743,0.75,0.711,0.68
76,Computational biology,1.0,1.0,1.0,1.0,0.767,1.0,0.976,1.0,1.0,1.0,1.0,0.95,0.92,0.9,0.886,0.85,0.844,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.98
77,Web 2.0,0.056,0.0,0.056,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.05,0.04,0.067,0.057,0.05,0.044,0.06,0.0,0.0,0.0,0.05,0.04,0.067,0.057,0.05,0.044,0.06
78,Network theory,0.5,0.5,1.0,1.0,0.03,0.05,0.309,0.636,0.2,0.1,0.2,0.2,0.16,0.133,0.143,0.125,0.133,0.14,0.8,0.7,0.667,0.55,0.48,0.5,0.486,0.475,0.489,0.48
79,Video denoising,1.0,1.0,1.0,1.0,0.12,0.377,0.12,0.377,0.6,0.5,0.4,0.4,0.32,0.267,0.257,0.275,0.244,0.22,0.6,0.5,0.4,0.4,0.32,0.267,0.257,0.275,0.244,0.22
80,Quantum information science,0.5,0.5,1.0,1.0,0.314,0.492,0.895,1.0,0.8,0.7,0.6,0.6,0.6,0.567,0.571,0.55,0.533,0.5,1.0,1.0,1.0,1.0,0.96,0.967,0.943,0.925,0.933,0.92
81,Color quantization,0.5,0.5,1.0,1.0,0.026,0.07,0.592,0.866,0.2,0.2,0.133,0.1,0.08,0.133,0.171,0.15,0.133,0.12,1.0,0.9,0.933,0.9,0.88,0.833,0.857,0.775,0.711,0.66
