author_name,n_pub
Gaetano Zanghirati,5
Cary Stothart,0
Maurice Bruynooghe,152
Damien Pellier,13
Dafna Shahaf,27
Emily Pitler,11
Przemyslaw A. Lasota,0
Rahim Dehkharghani,3
Uros Damnjanovic,3
Anton Aboukhalil,0
Wolfgang Polonik,0
Mary McGlohon,7
Graham Wallas,0
Jean Daunizeau,6
Jared R. Curhan,0
Claudio Biancalana,10
Ahmed M. Elgammal,82
Georges R. Harik,0
Jon Sporring,37
Narayanan Sadagopan,9
Stephen H. Fairclough,23
Eric Paquet,28
C. Seth Landefeld,0
Janet B. Pierrehumbert,7
Pashalis Padeleris,0
Christine Ecker,0
Nestor V. Queipo,0
Alexandra Gavryushkina,0
Ioannis Partalas,23
David Coeurjolly,64
Gianna M. Del Corso,15
Vinod K. Valsalam,7
Yoshiyuki Kabashima,17
Francesco Di Giunta,2
Frank Lenzen,0
Dan Banica,0
Christopher R. Houck,4
Hugo Raguet,0
Martin Pielot,54
Michal Lavidor,0
Wolfgang Ponweiser,0
Luca Marchesotti,9
Andreas Ziehe,20
Julien Bect,0
David Menotti,23
Roger B. Dannenberg,45
François Bolley,0
Antonello Maruotti,0
Robi Polikar,30
Morten Jerven,0
Michelle A. Borkin,14
Timo Sztyler,7
Iris Hupkens,0
Mehmet Koyutürk,43
Victor Shnayder,9
Michael Granitzer,87
Robert K. Harle,29
Pierre Zweigenbaum,28
Richard E. Nisbett,0
Christophe Biernacki,0
Cécile Rabrait,0
Udi Manber,51
Genshiro Kitagawa,0
Frank Noble Permenter,0
Vicente Zarzoso,0
Ralf Herbrich,52
Castrense Savojardo,0
Peter C. Litwinowicz,5
Kerstin Borau,5
Sakrapee Paisitkriangkrai,11
Danny Bickson,24
Dag Elgesem,0
Alberto Barrón-Cedeño,29
Stelios Sidiroglou-Douskos,10
Eric Jondeau,0
Bo Leuf,0
Aditya Vailaya,11
Peter E. Kloeden,0
Juraj Dzifcak,7
Alexandra Branzan Albu,9
Ahuvi Yearim,0
Karem D. Marcomini,0
Vincent Etter,3
Ronan Collobert,30
Ivana Chingovska,0
Bo Kågström,71
Luca Stabellini,0
Chris Volinsky,18
Daniele Miorandi,50
Jennifer J. Elgot-Drapkin,5
Christos Tryfonopoulos,36
Christian Houdré,0
Derek G. Corneil,83
Kevin S. McCurley,11
Amnon Shashua,82
Rüdiger Dillmann,65
Eser Kandogan,27
Charles Dubout,9
Yassine Benajiba,13
Olivier Chomat,0
Françoise Tisseur,27
Michiel van de Panne,82
Michael F. McTear,45
Susan Stepney,109
Anselm Spoerri,22
Valery L. Feigin,0
David Premack,0
Antonis C. Kakas,59
James W. Fickett,0
Manuel Yguel,0
Stephen J. Iturria,0
Alessandro Lazaric,51
Hans Sagan,0
Maytal Saar-Tsechansky,29
Olga Ohrimenko,23
Sam Alxatib,0
Branislav Kveton,40
David Lopez-Paz,13
Thomas D. Ndousse,0
Stef De Pooter,0
Yves Dufournaud,0
George F. Sterman,0
Thomas Natschläger,21
Edoardo Provenzi,0
Heikki Keskustalo,35
Franz Franchetti,52
Patricia Reynaud-Bouret,0
Harry G. Barrow,0
Andreas Opelt,0
Val Burris,0
Thomas Moranduzzo,0
Jayanth R. Banavar,0
Robert C. Susil,0
Julian Yarkony,0
Luc Dehaspe,13
Marco Baioletti,34
François Pomerleau,15
Stefan Zwicklbauer,9
Daniya Zamalieva,0
Gerard Pons-Moll,19
Victor Picheny,0
Laleh Haghverdi,1
Nate Derbinsky,16
Alessandro Vinciarelli,69
Stefan Woltran,156
Thomas Brihaye,0
Felix A. Gers,18
Georgios Galatas,15
Hamid A. Jalab,20
Uwe D. Hanebeck,25
Demetrio Labate,16
Adam Jatowt,140
Laura Leal-Taixé,15
Matjaz Perc,0
Steve Cronen-Townsend,4
Julien Audiffren,6
Aaron K. Shackelford,0
Kristi Kuljus,0
Pier Luca Lanzi,92
Mariano Beguerisse-Díaz,0
Giuseppe Fenza,31
Torbjörn Åkerstedt,0
Ali Azarbayejani,9
Matthew E. Antone,0
A. N. Kolmogorov,0
Anthony C. Boucouvalas,37
Daria A. Beshnova,0
Shaddin Dughmi,38
Maciej Wojtkowski,0
Akira Ushioda,1
Jens Krinke,60
Winrich A. Freiwald,0
Marta Ruiz Costa-Jussà,36
Hy Murveit,20
David Pisinger,41
Francisco Casacuberta,108
Frédéric Boussemart,0
Rainer Typke,5
Sebastian Gerwinn,13
Paul Erdös,0
Valérie Ego-Stengel,0
Markus Aschinger,5
Laura Igual,0
Marcos Salganicoff,19
Jonas Sjöbergh,0
Abdeslam Boularias,20
Thomas A. Pauls,0
Elena Birman-Deych,0
Juan Martinez-Romo,16
Ioannis Giotis,7
Christian Jutten,0
David Gilbarg,0
Mooly Sagiv,131
Petr Somol,32
Amnon Meisels,63
Alessandro Pelizzola,0
Jerzy A. Filar,35
Linus Svärm,0
Sabine Van Huffel,100
Robert M. Nishikawa,0
Rafael Grompone von Gioi,0
Balaji Krishnapuram,30
Gjorgji Madjarov,0
Michael C. Roggemann,0
Uwe Einmahl,0
Horst Wildenauer,0
Sira Ferradans,0
Carlos F. Daganzo,0
Dech Thammasiri,0
Rukshan Batuwita,0
Marcus J. Nadenau,0
Conrad Plake,4
Misha Mahowald,0
John R. Douceur,44
László Györfi,44
Edward R. Scheinerman,0
Prasad Tetali,58
Olivier Elemento,0
François Andry,3
Chiara Di Francescomarino,19
Daniel C. Fabrycky,0
Subbarao Kambhampati,179
Fidel Cacheda,34
Konstantinos Chatzikokolakis,41
David C. Krakauer,0
Yee Whye Teh,86
Emanuel Parzen,6
Holger Knublauch,6
Stefania Matteoli,0
Henryk Woźniakowski,0
Vítor Lopes-dos-Santos,0
Sanyogita Shamsunder,0
Georgios Tziritas,0
Timothy S. Newman,36
Aldo Rustichini,0
Renu Virmani,0
Nick Bostrom,7
Laveen N. Kanal,49
Ruggero Lanotte,40
Wa Wijnand IJsselsteijn,0
Alice Cleynen,0
Pietro DeLellis,0
Richard F. Spaide,0
Robert C. Froemke,0
Maja Temerinac-Ott,0
Anna Hristoskova,0
Edward J. Fuselier,0
Robert M. Yadrick,0
Charles M. Fiduccia,19
Tal Yarkoni,2
Jörg Liebeherr,85
Igor Kozine,0
Salim Jouili,12
Edward T. A. Mitchard,0
Ariana Strandburg-Peshkin,1
Guillaume Chevillon,0
Enver Sangineto,26
Jan Derrfuss,0
Giovanni Cavallanti,4
Krzysztof Choromanski,18
Nikolaj Tatti,54
Chayant Tantipathananandh,5
Richard C. Puetter,0
Christoph Helmberg,2
Nicolas Boulanger-Lewandowski,2
Witold Pedrycz,653
Jeffrey S. Simonoff,11
David A. Atchison,0
Maté Ongenaert,0
Majd Hawasly,0
Athanassios N. Skodras,30
Sami Romdhani,13
Ajita Rattani,14
Gulisong Nasierding,0
Koen L. Vincken,0
Nick Feamster,173
Burt L. Monroe,1
Andreas Ruepp,0
Nathan Linial,101
Mark J. Huiskes,13
Stefan Wager,8
Paul Fearnhead,0
Elias Ould-Saïd,0
Michal Nykl,0
Michael Firbank,0
Peter Bro Miltersen,74
Asli Celikyilmaz,23
Ali Khamene,22
Fatih Ozsolak,0
George Deligiannidis,0
Dyonisius Dony Ariananda,0
Radu V. Craiu,0
Paul Glasserman,58
Georgios N. Yannakakis,88
Agnes Gruenerbl,7
Alejandro López-Ortiz,111
Christian Retoré,13
Gerlind Plonka,0
Ronald L. Breiger,0
Stefan Siersdorfer,40
Boris Motik,89
Adrià de Gispert,26
Opas Chutatape,0
Thomas L. Saaty,0
Maxime Descoteaux,0
Peter Zaspel,0
Martin Krallinger,9
Michael D. Buhrmester,0
Mehdi Hajinoroozi,0
Roy Radner,5
Kristin Yvonne Rozier,0
Andrew Rosalsky,0
Hans de Nivelle,0
Paul M. Ridker,0
Christoph Bergmeir,0
Nicola Montecchio,4
Francesco Ranzato,55
Shane R. Thye,0
Jonathan G. Fiscus,17
Bilal Bataineh,0
Christoph Schlieder,30
Raija Lehtokangas,0
Klaas P. Pruessmann,4
Russell Merris,0
Steffen Oeltze,0
Michael W. Eysenck,0
Václav Snášel,170
Patrick Rebentrost,0
Yannick Trémolet,0
Dagmar Kainmueller,0
Ralph Debusmann,8
Yazan N. Billeh,0
Álvaro Cortés-Calabuig,8
Alec Pawling,6
Tomaso Erseghe,0
Bernhard Fröba,0
Norman Fairclough,0
Ulrich Zukowski,0
Elizabeth Varki,12
Georgios Goudelis,6
Jan Eric Kyprianidis,10
Vassilis Athitsos,87
Ioannis Karamouzas,24
Michael A. Fligner,0
Wolfgang Woerndl,21
Hanno Scharr,31
Angela Bonifati,73
Jeremias Sulam,0
David Gouaillier,0
Marc Berthod,0
Emmanouil Benetos,3
Maurizio Dapor,0
Jack Valmadre,0
Franck Iutzeler,8
Péter Jacsó,0
Leonid Kof,16
Paolo Petta,28
David C. Schmittlein,0
Wulfram Gerstner,0
Laurent Granvilliers,32
Jason W. Bohland,0
Beata Jarosiewicz,0
Kevin Gilholm,0
Roberto Perdisci,53
Nicolás García-Pedrajas,56
Claudia Kondermann,0
Igor Kononenko,72
Andrzej Trybulec,0
Patrice Perny,57
Francis Crick,0
Jaka Krivic,0
Sylvain Neuvel,1
Sayan Bandyapadhyay,6
Christian Federmann,12
Frank Perbet,2
Yaniv Plan,13
Bailey K. Fosdick,1
William J. Howat,0
Serge A.R.B. Rombouts,0
John O. Ledyard,10
Thanawin Rakthanmanon,24
Laura Tolosi,0
Khalil Sima'an,27
Fares S. Al-Qunaieer,0
Dan Olweus,0
Veynu Narasiman,5
Kaan Ersahin,0
Ichiro Hasuo,45
Parag Chordia,4
Sylvain Raybaud,1
David G. Luenberger,0
Alexandre Gramfort,32
Don Fallis,7
Igor V. Tetko,0
Thanos G. Stavropoulos,12
Yoshinori Sagisaka,17
Sean R. Eddy,0
Nasim Souly,0
Alard Roebroeck,0
Carol Padden,0
Evangelos E. Papalexakis,51
Sašo Džeroski,156
Igor Zakhlebin,1
Evangelos Kanoulas,69
Ulas Akkucuk,0
Yves Rasolofo,3
Michael A. Tsfasman,0
Przemyslaw Musialski,22
Iñigo Casanueva,0
Jonas Poelmans,0
Richard Van Noorden,0
Roser Saurí,9
Imad A. Al-Sughaiyer,0
Zachary DeVito,13
Tarik Filali Ansary,6
Steven M. Drucker,81
Songpol Ongwattanakul,2
Michael G. Rabbat,36
Seyed-Mahdi Khaligh-Razavi,0
Leonard Bolc,11
André Uschmajew,0
Pnina Shachaf,9
Suresh Purini,14
Felix Krahmer,0
Noga Pinchuk-Yacobi,0
Benedikt Loepp,9
William F. Trench,0
Eileen Luders,0
Dimitrios Markonis,6
Dana Kulic,49
Jerzy Stefanowski,65
Olaf Hartig,29
Jeremy Goecks,8
Olivier Guédon,0
Edward Rolando Núñez-Valdéz,0
Ari Seff,3
Najim Dehak,11
Yener Ulker,0
Alper Atamtürk,0
Nicholas Navaroli,0
Eric Battenberg,2
Zeeshan Hayder,2
Marko Ristin,0
Vahid Kazemi,0
Efros,1
Rinku Dewri,29
Ferenc Huszár,6
Fabrice Muhlenbach,11
Gholamreza Haffari,30
Adam Boocher,0
Matthew J. Salganik,0
Gilles Dequen,0
Branislav Kisacanin,0
Patrice Latinne,0
Ehsan Shahrian,0
Fabio Aiolli,34
Rahul Sukthankar,68
Gonzalo Huerta-Canepa,8
Nicolas Schweighofer,0
Indika Kahanda,8
Thamar Solorio,34
Kenneth R. Laughery,12
Kostas G. Anagnostakis,34
Alexander L. Stolyar,47
Gerald M. Reaven,0
Georges S. Aoude,0
Erwin Schrödinger,0
Ann M. Graybiel,0
Cristian Sminchisescu,63
Jorge Dávila-Chacón,0
Alan R. Hevner,78
Laura Sevilla-Lara,0
Chris Biemann,34
Evangelos Kalogerakis,34
Chris Cannam,1
Ameneh Shobeirinejad,0
M. Gopi,2
Aaron Clauset,13
Kenji Yamanishi,65
Nicholas Morsillo,5
Stanley A. Mulaik,0
Mohammad Moghadamfalahi,0
Stéphane Doncieux,38
Richard Durbin,13
Roger L. Boyell,4
Raghunandan H. Keshavan,5
Emilie Niaf,0
Gill Barequet,99
Simon Papillon-Cavanagh,0
Arto Klami,33
Claire Adam-Bourdarios,0
Stefan Magureanu,1
Zeev Dvir,39
Efstathios Paparoditis,0
Matias Salibian-Barrera,0
Daan Wierstra,30
Yael Niv,9
Guillaume Lettre,0
Leif Lönnblad,0
Povilas Daniusis,0
Peter J. Bentley,84
Bastian Quilitz,0
Jake V. Bouvrie,0
Stefanie Muff,0
Mudhakar Srivatsa,84
Adrien Couëtoux,0
Naomi Ehrich Leonard,0
Lucian Mihai Itu,0
Bernard De Baets,128
Aliaksei Sandryhaila,0
Giulianella Coletti,0
Steven Maere,0
Kenneth R. MacCrimmon,0
Stefan Evert,10
Stefan Kaufmann,2
Khalid El-Arini,9
Christopher A. T. Ferro,0
Bob G. Witmer,0
Ido Nevat,17
Anders Løland,0
Paul D. Allison,0
Marc Modat,33
Samuel Schulter,7
Yizhar Regev,3
Timothy Ravasi,0
Yehuda Vardi,8
Johan Westerborn,0
Dorina Thanou,0
Cristiano Castelfranchi,111
Eric F. Pettersen,0
Hirotugu Akaike,0
Matthew R. Callstrom,0
Ben S. Bernanke,0
A Bartels,0
Bohdan Monastyrskyy,0
Yoshiaki Sakagami,0
Kanar Alkass,0
Lars Huettenberger,0
Aleksandar Matic,22
Edward Bierstone,0
Jean-Christophe Souplet,0
Dimos V. Dimarogonas,40
Ron Koymans,15
Alena Böhmová,3
Veena S. Mellarkod,4
Ujjal Chattaraj,0
Theofrastos Mantadelis,0
Nicolae Gonciulea,0
Thomas Lacour,0
Harel Z. Shouval,0
Pasi Fränti,90
Alex Pothen,83
Moustafa Alzantot,5
Benjamin B. Machta,0
Hossein Azari Soufiani,1
Ikujiro Nonaka,0
Bernard Merialdo,6
Bharat N. Nathwani,0
R.B. Bapat,0
Bhuvan Urgaonkar,77
John Gribbin,0
Ulrich Pinkall,23
Jernej Virant,0
Shamik Sural,111
Xavier Lagorce,0
Andreas Richtsfeld,0
Pascal Poupart,78
Francisco J. Ferrer-Troyano,7
Christopher Jekeli,0
Jovan Pehcevski,12
Greg Kuperberg,15
Yegnaswamy Sermadevi,0
Thomas Luft,6
Simon Hangl,0
Mario Cannataro,114
Vasileios Belagiannis,0
Gary Marchionini,104
Laurent Benaroya,2
Arkadas Ozakin,0
Nicolas Vayatis,37
Emanuel F. Petricoin,0
Melvin J. Hinich,21
Jonas Ballani,0
Chantelle Garritty,0
Ferdinand de Saussure,0
William C. Keel,0
Peter Grassberger,0
William B. Frakes,54
Gilles Fauconnier,0
Matthew B. Kennel,0
Iman Keivanloo,38
Michalis Kolossiatis,0
Gota Morota,0
Harold Jeffreys,0
Marcin Novotni,2
Krisda Lengwehasatit,0
Piero P. Bonissone,49
Tamás Nepusz,0
Maen Takruri,0
Stamatis Cambanis,0
David De Roure,27
Myriam Rajih,0
Greg Ongie,0
Prithiraj Tissainayagam,0
Alessandro Cimatti,160
Alessandro Bessi,2
Olivier Fercoq,14
Yesim Serinagaoglu,0
Abdulkadir Sengur,34
Daniel Almirall,0
Giuseppe Loianno,0
Eugenia Ternovskaia,0
Azadeh Fakhrzadeh,0
Yousef Al-Ohali,11
Bart De Vylder,0
Ali Mohammad-Djafari,0
Zbigniew Bonikowski,0
Anna Leontjeva,5
Stefano Merler,16
Rajsekar Manokaran,12
Olivier Eches,0
Stefan Kunis,12
Frédéric Chazal,52
Tony Kam-Thong,0
Rytis Stanikunas,0
William I. Gasarch,168
Rafail Ostrovsky,240
William H. Kautz,20
Konstantinos G. Derpanis,17
Yacine Jernite,0
Sébastien Bubeck,36
Patrick Asbach,0
Pierre-Olivier Amblard,0
Juha Ala-Luhtala,0
Venkatesan Guruswami,189
Alexandros Karatzoglou,45
Stefan Büttcher,14
Amir Globerson,53
Bart Peerdeman,0
Cormac Herley,35
Jannik Strötgen,29
Hani Hagras,98
Peter V. Gehler,21
Péter Csermely,0
Brian DePasquale,0
Michal Dziemianko,0
Thomas Bartz-Beielstein,51
Arnold Schönhage,19
Fiora Pirri,30
Yoav Gilad,0
Fernando V. Bonassi,0
Carsten Ihlemann,6
Will Eisner,0
Christian Kloimüllner,0
Ivan E. Auger,0
Elana Zion Golumbic,0
Patricia M. Rodier,0
Claus Rinner,1
Gregory Riddick,2
François Picalausa,4
Thomas Torsney-Weir,8
Jérôme Brachat,2
Guy E. Blelloch,173
Lars Grasedyck,0
Kritsada Sriphaew,5
S. M. Shahriar Nirjon,46
A. Sha'asua,0
John G. Kemeny,0
Torsten Zesch,19
Alena Shmygelska,5
Kees van Deemter,37
Lawrence J. Henschen,60
Lavinia Paternoster,0
Luboš Brim,72
Willemijn Vermaat,0
Johan Löfberg,0
Iosif Pinelis,0
Dino Seppi,6
Robert Petryszak,0
Katarzyna Sta̧por,0
Natan Peterfreund,0
Jacek Jelonek,0
Peter Fankhauser,43
Andrea Asperti,69
Mihran Tuceryan,26
Charlie Frogner,0
Wolfgang P. Lehrach,0
David Liben-Nowell,27
Klaus E. Timmermann,0
Koen Deschacht,7
Peter Whaite,0
Sven F. Crone,8
Hallinan,2
Kimmo Soramäki,0
Nitin Thaper,2
Anders M. Fjell,0
Iker Burguera,1
John Sweller,6
Keld Helsgaun,0
Esa Rahtu,35
Rafael Gómez-Bombarelli,0
Ondřej Dušek,6
Utthara Gosa Mangai,0
Mohamed Abdel-Mottaleb,46
Paul Lamere,15
Andrea Ciffolilli,0
M. Malshe,0
Thorsten Doliwa,2
Valerio Scarani,0
Victor J. Strecher,2
Wojciech Kotłowski,29
Guglielmo Montone,0
Aaron Gerow,0
Matthieu Ferrant,9
Sergio Bacallado,0
Pascal Sirguey,0
Shan-Hwei Nienhuys-Cheng,25
Karl Aberer,281
Ian Millington,0
Jérôme Euzenat,84
Anon Plangprasopchok,13
Filipp Akopyan,7
Henry Prakken,94
Odysseas G. Tsatalos,6
David A. Hanauer,9
Franck Dernoncourt,6
Robert A. Stine,4
Jerome Sallet,0
Brice Michoud,0
Pablo Espinace,0
Erwan Faou,0
Peter Hagoort,0
Johan Paduart,0
Tom Schrijvers,81
Giacomo Indiveri,49
Joseph H. DiBiase,0
Ernesto F. Yhap,0
Ehsan Nazerfard,5
Corrado Mencar,22
Eitan Greenshtein,3
Richard E. Ladner,205
Andrej Gisbrecht,0
Nikolaj Bjørner,74
Ugo Gianazza,1
S. Damla Ahipaşaoğlu,0
Krzysztof Kacperski,0
Luca Corazzini,0
Tüze Kuyucu,13
Fabian Bendix,3
Ahmed N. Albatineh,0
Michel Chilowicz,3
Gann Bierner,3
Felicia B. Gershberg,0
Ernst Eberlein,0
Andrew J. Petruska,5
Ian D. Watson,0
Kobayasi Yosiyuki,1
Paul Asente,46
James Tobin,0
Béatrice Daille,15
Jay Yagnik,12
Jan Węglarz,34
Marek R. Ogiela,127
James S. Nairne,0
Christopher Bowd,0
Hossein Kaydani,0
Philip Salesses,0
Ellen C. M. Mommers,0
Orit Kliper-Gross,0
Konstantin Böttinger,12
Gerard Debreu,0
Ian A. Kash,52
Benjamin Kunsberg,0
Pierre Tandeo,0
R. N. Rojas-Bello,0
Kay Deaux,0
Nurettin Acir,0
Hanady M. Abdulsalam,9
James L. Massey,0
Themos Stafylakis,9
Christopher M. Dellin,0
Sylwia Romaszko,8
Parvathinathan Venkitasubramaniam,0
Asaf Shabtai,68
Daniel J. Hruschka,0
Matija Marolt,7
Kristian Cibulskis,0
Elke Michlmayr,6
Augusto Destrero,0
Nikolaos Tziortziotis,11
Martin Storath,0
Uwe Egly,54
J. Andrew Bagnell,69
Claire Nédellec,15
Oleg Grodzevich,0
Tiberio Uricchio,23
Wu Dingping,0
Yann Leydier,10
Cyriac Kandoth,0
Yuval Filmus,30
Peter Welinder,0
Emre Ertin,28
Yury Polyanskiy,36
Jon Barwise,26
Patricia L. Whetzel,0
Daniel Hernández-Lobato,31
Benjamin T. Rolfs,0
Deepak Roy Chittajallu,0
Abtin Rasoulian,0
Aldo Lipani,18
Miroslav Dudík,32
Michael Vidne,0
Krzysztof Łatuszyński,0
J. Alex Halderman,15
Chitra Dorai,47
John L. Klepeis,8
Konstantinos E. Themelis,0
Alejandro Lage-Castellanos,0
Raj Rao Nadakuditi,7
Cynthia C. S. Liem,32
Daniel Lowd,37
George S. Atsalakis,0
Mohamed Chetouani,63
Liisa Holsti,1
Ericka Janet Rechy-Ramirez,0
Eerika Savia,6
Dirk Van den Poel,0
Yigal Attali,0
Claus Svarer,0
Thomas Corpetti,0
Muhammad Abdul-Mageed,5
Rosalie McGurk,0
Ofer Shtrichman,0
Amael Delaunoy,0
Terry S. Yoo,3
Omar Benjelloun,18
Adam Gaier,9
Philippe Jehiel,0
Ilya Molchanov,0
Peter Turchin,0
Anton Chechetka,7
Milan Studený,28
Matthias Wellens,8
Danai Koutra,49
Victor Vianu,136
Harry A. Quigley,0
Simon Dobrisek,0
Klaus Mosegaard,0
Ian Osband,0
Bill MacCartney,9
Nicolas Flammarion,4
Richard Jayadi Oentaryo,0
Ap Dijksterhuis,0
Tim B. Dyrby,0
Hugo Hromic,3
Alvin M. Liberman,0
Michele Fenzi,0
Michael Rovatsos,72
Stefan Mitsch,2
Eva Ceulemans,0
Rob Kitchin,0
Giles Hooker,19
Francesca Bovolo,0
Marco Crocco,12
Hedvig Kjellström,24
Caglar Gulcehre,0
Chrisil Arackaparambil,7
Tomasz Imielinski,69
Chaya S. Moskowitz,0
John M. Gottman,0
Lois M. Verbrugge,0
Neelima Chavali,0
Shen Furao,6
Georgiana Ifrim,10
Pradeep Buddharaju,13
Sajan Goud Lingala,0
Curtis Huttenhower,10
Nathan Srebro,78
Joseph K. Blitzstein,0
Carlos Zamarreño-Ramos,0
Vidvuds Ozoliņš,0
Olivier Ecabert,0
Nils Bulling,37
Boris Epshtein,6
Thomas Plötz,53
Jesper Tegnér,17
Giorgio Licciardi,0
Eric Allamanche,0
O. Buyukokkten,0
Gary D. Bader,10
Mark A. Horsfield,0
Ashok Savasere,0
Robert G. Newcombe,0
Steven Loscalzo,13
Md. Atiqur Rahman Ahad,31
Ronitt Rubinfeld,105
Federico Turkheimer,0
Gonzalo Martínez-Muñoz,20
Hub Prüst,0
Etienne Mémin,0
D. Gaw,1
Nesma Houmani,7
Emilio Remolina,0
Dominique M. Hanssens,0
Oscar Beijbom,0
Evren Özarslan,0
Scott Novotney,5
Magnus Boman,19
Mary Malliaris,0
Deniz Yuret,27
Masoud Rouhizadeh,3
Luigi Grippo,0
Anke M. Leufkens,0
Aric Hagberg,7
Robert LiKamWa,29
Howard Raiffa,0
Yael Karov,2
Tim Salimans,6
Peter Damaschke,94
Ernesto Bonomi,0
Jonathan Delhumeau,2
Yan Karklin,0
Stephan D. Fihn,0
Peter Borkenau,0
Martijn van Koningsbruggen,0
Razmig Kéchichian,2
Razieh Nokhbeh Zaeem,7
Lorenz Bühmann,20
Eyal Gofer,0
Gregory Druck,11
Dennis J. van Gerwen,0
Xavier Armangué,0
Aapo Kyrola,10
Wolfgang Wiltschko,0
Krzysztof Onak,38
Silviu Maniu,19
Jean-Claude Latombe,84
Vitali Milman,0
Shravan Vasishth,4
Simon Kochen,0
Ramazan Gokberk Cinbis,0
Florence Tupin,0
Tristan Snowsill,6
Olivier Teytaud,92
Andrea Colombari,6
Raouf Hamzaoui,11
François-Michel De Rainville,10
Mohammad Reza Daliri,0
Quentin Barthélemy,0
Dalton Lunga,7
Roni Mittelman,0
Ibraheem Alhashim,8
Nina Korsisaari,0
Robert Giegerich,55
Amos J. Storkey,0
Babak Hassibi,122
Gerald M. Edelman,0
Nicole Bäuerle,0
Hans Hallez,8
Andrei Lopatenko,6
Denis Mindolin,6
Christoph Dellago,0
Thomas A. Lasko,5
Nicola Tomatis,0
Sylvain Robbiano,0
Emine Krichen,0
Pedro F. Felzenszwalb,23
Jerome R. Bellegarda,21
Guido Zuccon,105
Ana Justel,0
Dan Pelleg,33
Selin Aviyente,19
Pieter R. Roelfsema,0
Michael M. Kazhdan,53
Luís M. A. Bettencourt,5
Fumio Okura,9
Zbyněk Šidák,0
Gayathri Chandrasekaran,11
Shai Carmi,0
Percy Deift,0
Giuseppe Ascia,46
Paul Nulty,6
Stefan Schlobach,51
Oscar Cordón,80
Nesli Erdogmus,0
Gilles Pesant,67
Richard A. Kronmal,9
Chavdar Papazov,5
Koen W. A. van Dongen,0
David Siegmund,0
Zachary D. Blount,0
Giuseppe Attardi,52
Fedde van der Lijn,0
Francesco Ronzano,9
David C. Knill,0
Alessandro Pieropan,0
Ignacio Fernández-Tobías,7
Benjamin M. Marlin,46
Fotini Simistira,0
Pasin Manurangsi,20
Piero Fariselli,33
Mathieu Desbrun,117
Ken Hinckley,88
Kálmán Palágyi,0
Nikolaos Stamatopoulos,31
Franck Jabot,0
Olivier Collier,2
Carolyn Kimme,1
Martin Schönhof,0
J. B. Antoine Maintz,0
Thad A. Polk,0
Matthew A. Kupinski,0
Stanislas Lauly,3
Julio Acosta-Cabronero,0
Renaud La Joie,0
Piyasak Jeatrakul,0
Albert C. Bemmaor,0
Nello Cristianini,82
Michael Donoser,27
P. Van Hentenryck,273
Roswitha Wiltschko,0
Harald Dimmelmeier,0
Brynjar Gretarsson,7
Sanjay Modgil,51
Tammy Riklin-Raviv,0
Jedrzej Potoniec,0
Gregor Wergen,0
Daniela Sammler,0
Stefano Mizzaro,67
John L. Bresina,0
Rebecca E. Ronquest,0
Philippe Flajolet,114
Hermann Weyl,0
Robin Genuer,0
Johnny Accot,8
Gernot R. Müller-Putz,17
Jaka Katrašnik,0
Amar Isli,0
Edina Rosta,0
Anton Barty,0
Sunita Sarawagi,74
Nicola Bianchessi,0
Charles Fefferman,0
Peter Vangorp,15
Klaus Stüben,0
Amiran Ambroladze,9
Léonard Jaillet,0
Petr Šulc,0
Eftychios A. Pnevmatikakis,0
Upendra Shardanand,1
Martin Habbecke,5
Gilles Louppe,11
Marc Kachelrieß,0
Uygar Sümbül,0
Mohsen Pourahmadi,0
Ebru Aydin Gol,4
Mihailo Stojnic,0
Thomas Banchoff,7
R. Kolisch,0
Jana Holsanova,0
Alexander Zien,18
Francesco Belfiore,0
Ralf G.M. Schlösser,0
Bruno S. Frey,0
Olivier Raiman,0
Roberto Todeschini,0
Jean-Philippe Thirion,0
Svetlozar Nestorov,19
Terry M. Therneau,0
Giuseppe Cuccu,4
Chrystopher L. Nehaniv,85
Francis S. Bellezza,0
Larry D. Pyeatt,20
Otto Jespersen,0
Marina Meila,42
Chris Lintott,4
Michaël Rusinowitch,119
Thomas B. Schön,28
Matei Ripeanu,93
Johannes Hachmann,0
Csaba Domokos,0
Yücel Saygin,69
Amos Fiat,121
Rachid Alami,51
Ralph Grishman,119
Hernán A. Makse,0
Ross Goroshin,0
Malik Magdon-Ismail,113
Guilhem Semerjian,0
Horacio Saggion,71
Nicoleta Neagu,0
Bruno de Finetti,0
Irene Langkilde,5
Michel Thiebaut de Schotten,0
David Warde-Farley,5
Stephen M. Stigler,2
Yuval Tassa,5
Rosa I. Arriaga,54
Daniel Weinland,1
Romain Giot,19
Martin Grötschel,0
Kate Saenko,40
Jaakko Särelä,7
Csaba Szepesvári,129
Paul Hughett,0
Sven De Greef,0
Gert Behiels,0
Trevor Bekolay,0
Dean A. Pomerleau,0
Mark J. Machina,0
Oleg Trott,0
Adam J. Berinsky,1
Awi Federgruen,0
Epameinondas Antonakos,7
Frans Schalekamp,15
Etienne Decencière,0
Mrinal Haloi,1
Umamahesh Srinivas,0
Behnaam Aazhang,55
Jessi Stumpfel,7
S. Avinash Ramakanth,4
Tomas Ekeberg,0
Alonso Ramirez-Manzanares,0
Donald Poskitt,0
Steffen Rendle,28
Forrest N. Iandola,6
Ashish P. Sanil,9
Luc Segoufin,64
Hastagiri P. Vanchinathan,5
