,author,papers,declared
304,1124596973,1,4
305,1124611383,4,40
306,1124620512,4,119
307,112465256,1,5
308,1124993540,1,4
309,112535025,3,61
310,1125528765,10,45
311,1125783698,1,129
312,112579409,2,103
313,112613578,2,185
314,112643518,1,36
315,1126748653,1,26
316,112683000,5,121
317,112720797,4,66
318,1127475603,4,239
319,112755804,1,14
320,1127615553,8,46
321,1127778,1,9
322,112784420,1,85
323,1128290216,13,23
324,1128792358,5,43
325,112880940,5,211
326,1128886760,7,55
327,112933558,14,119
328,1129598469,7,53
329,112986770,16,24
330,113008519,5,210
331,1130427738,1,18
332,1131070213,1,17
333,113108355,1,94
334,113116722,14,133
335,113177573,2,52
336,1132442354,23,421
337,1132515649,13,146
338,1132611271,3,104
339,1132978529,5,25
340,1133076831,13,32
341,1134228128,3,12
342,113447990,3,15
343,1134925310,1,33
344,1135277573,1,12
345,1135668241,1,51
346,113595511,1,62
347,113617264,1,43
348,1136363840,1,19
349,1136656317,3,7
350,113721321,2,171
351,113766993,1,4
352,1138373401,2,140
353,11391556,19,149
354,1139503581,2,11
355,1139919548,2,29
356,1140414291,2,6
357,1140460861,1,11
358,114048148,3,265
359,1140648452,1,10
360,1140831031,55,129
361,11409961,13,179
362,114139156,2,411
363,114219197,11,53
364,1142397388,7,12
365,1142531108,1,61
366,114267730,4,104
367,114271355,1,45
368,1142943966,5,26
369,1143018393,1,2
370,114352313,1,50
371,1144138726,10,146
372,1144267250,4,5
373,1144865590,4,201
374,1145175247,3,9
375,1145216661,1,325
376,1145561025,1,16
377,114586512,2,54
378,1146033600,2,40
379,1146904004,1,3
380,114700236,6,107
381,114836604,1,6
382,114841185,27,124
383,1148572950,22,161
384,114863092,2,98
385,114901619,15,105
386,114908009,9,219
387,1149324322,3,75
388,1149407039,1,6
389,115057300,2,141
390,115072156,1,18
391,115078576,3,112
392,115085028,2,28
393,1150893283,4,304
394,115114929,5,121
395,1151310179,1,29
396,1151373816,1,160
397,1151397982,3,54
398,1151530292,14,49
399,1151558386,4,9
400,115176784,3,30
401,1152002260,2,9
402,1152290301,1,27
403,1152366434,8,165
404,1152630,1,7
405,1153094334,5,30
406,1153133090,1,30
407,115314246,1,150
408,1153346776,1,11
409,1153954206,3,40
410,11543328,2,231
411,115442323,1,378
412,1155923358,1,74
413,1156305176,1,600
414,115698191,1,2
415,1156985784,1,14
416,1156989899,1,21
417,1157737953,42,183
418,1157818154,2,19
419,1157944989,1,92
420,1158934300,5,33
421,115916690,1,83
422,1159417788,11,626
423,1160023076,2,29
424,1160350079,4,118
425,1160385735,2,4
426,116046974,1,38
427,1160973328,1,5
428,1161247710,4,90
429,116150614,2,180
430,116215800,1,79
431,1162469211,10,128
432,116338899,1,55
433,116345214,2,102
434,116349491,5,146
435,116357114,6,350
436,1163936183,3,146
437,1163940656,2,20
438,1163992296,2,52
439,1164225383,4,23
440,1164247981,4,27
441,1164257505,1,156
442,1164417488,1,12
443,1164844948,2,92
444,1164954290,3,21
445,1165401390,1,16
446,116546154,3,30
447,116639046,20,168
448,116678117,1,3
449,116760373,4,5
450,1167787926,1,76
451,1167884864,2,24
452,116842873,2,30
453,116872656,4,17
454,1168736529,3,158
455,1169494551,14,77
456,116957653,2,13
457,1169607895,4,27
458,116974697,1,20
459,1169941241,1,50
460,1170396044,3,4
461,1170454603,2,13
462,1171453863,12,12
463,117173690,2,84
464,1172064443,1,30
465,1172313438,1,43
466,1172530,1,3
467,11725370,4,183
468,1172710634,1,12
469,1173511691,2,11
470,1173539484,1,14
471,117362078,2,5
472,1173647859,2,8
473,1173758287,2,32
474,117380261,1,50
475,1173963865,1,49
476,117399983,9,39
477,117447119,1,32
478,11746710,15,129
479,1175085069,9,118
480,117549901,4,440
481,117563956,1,6
482,1176293400,1,20
483,1177544832,1,4
484,1177948659,1,5
485,117801055,3,91
486,117961101,3,63
487,1180009366,4,32
488,1180073180,1,16
489,118036640,1,219
490,118037170,14,363
491,1180749677,2,18
492,118097491,1,35
493,118134686,1,421
494,1182357110,4,85
495,118238763,1,7
496,118251754,2,104
497,1182580456,1,11
498,1182759791,1,124
499,1182808806,20,178
500,1183186111,1,3
501,118324956,9,183
502,1183612135,3,80
503,1183646159,1,26
504,118398791,3,118
505,1184340916,1,5
506,1184420917,9,52
507,1184479373,2,38
508,118504802,2,27
509,118601304,1,12
510,1186446493,2,89
511,1186584138,10,48
512,1187159012,8,285
513,1187476311,1,67
514,1188219994,2,40
515,118862845,3,17
516,118897315,5,176
517,118900537,16,74
518,1189187856,1,17
519,1189334638,2,14
520,1189525356,4,11
521,1189765100,10,199
522,118976893,3,91
523,1189865043,1,95
524,119015933,1,36
525,1190321462,10,14
526,119050547,5,174
527,119156578,8,44
528,1191733192,2,19
529,119177627,2,115
530,1191858103,3,40
531,119276000,3,44
532,119288298,1,122
533,119340012,1,47
534,1194141461,1,15
535,119476720,12,100
536,1195204610,2,60
537,1195463176,1,39
538,1195463284,4,28
539,119553224,6,23
540,11955581,2,11
541,1195573423,6,63
542,1195575240,28,201
543,119601341,8,27
544,1196364924,2,64
545,1196423697,8,94
546,1196519106,1,62
547,119661818,15,106
548,1197244558,1,2
549,119766082,1,45
550,11980275,1,5
551,1198110563,18,32
552,119822785,2,36
553,1199015435,2,325
554,119919068,1,18
555,1199209841,3,18
556,119951582,1,37
557,120019987,1,145
558,1200874267,1,28
559,1200955931,2,236
560,1201294241,1,11
561,120130642,5,5
562,120174691,2,80
563,1201773252,8,71
564,1201804041,1,9
565,120212391,3,14
566,1202853941,1,21
567,120299314,3,10
568,120349348,6,22
569,120405888,28,205
570,1204061966,89,167
571,120424981,2,21
572,1204304089,1,17
573,120466312,27,119
574,120468625,1,222
575,120471470,1,169
576,1204760875,1,124
577,1204937030,5,12
578,1205235974,2,22
579,1205259972,10,54
580,1205501241,2,183
581,1205626053,1,10
582,1205765909,23,195
583,1206031314,1,5
584,1206116339,1,14
585,1206150731,1,18
586,120639059,5,201
587,1206600619,7,198
588,1206618033,4,84
589,1206765324,23,56
590,1206776755,1,10
591,1206898884,1,7
592,1206933977,1,1
593,1207242411,2,17
594,1207328436,23,141
595,1207361180,3,20
596,1207417955,1,15
597,1207478839,1,53
598,1207479694,1,15
599,120748758,1,115
600,1207707739,5,69
601,1208078881,1,9
602,120810172,12,59
603,1208114522,1,64
604,1208143757,5,106
605,1208147595,8,100
606,1208169748,2,21
607,1208359923,1,75
608,1208447335,5,26
609,1208613957,1,5
610,1208744602,14,63
611,1208862163,36,110
612,1208873481,6,14
613,1209087724,27,163
614,1209091135,2,4
615,120917009,1,6
616,1209245628,1,25
617,120930672,12,32
618,1209621272,1,61
619,1209707798,1,40
620,1209754727,1,63
621,1209796447,1,7
622,120987416,1,9
623,1209908214,3,70
624,1209940156,8,50
625,1210077701,2,19
626,1210290760,1,2
627,121034006,2,6
628,1210402752,5,24
629,1210634603,1,5
630,1210890480,7,20
631,1210982501,3,69
632,1211215850,6,156
633,12112317,1,49
634,1211427809,1,38
635,1211585574,2,13
636,1211614430,1,30
637,1211639365,1,174
638,1211650921,6,39
639,1211809838,5,66
640,1211838321,2,8
641,1211902473,8,241
642,1211965474,1,8
643,1212011257,2,3
644,1212014382,1,27
645,1212032646,1,37
646,1212190932,7,25
647,1212716344,3,15
648,1212811696,3,15
649,1212827771,6,64
650,121301767,11,39
651,12130470,2,39
652,1213091022,25,71
653,1213124411,3,15
654,1213141056,3,30
655,1213158340,1,8
656,121317080,2,6
657,121356807,3,43
658,121359932,2,87
659,1213793304,1,13
660,1214011245,2,89
661,1214041332,11,67
662,1214261146,20,117
663,1214297960,2,79
664,1214313910,6,46
665,1214756773,1,11
666,1214819165,1,57
667,1214889833,2,161
668,1214912442,4,52
669,1215095167,1,107
670,1215165747,8,35
671,1215363095,1,37
672,1215695934,2,10
673,121586908,2,65
674,1215940482,2,6
675,1215993905,1,9
676,1216053073,6,10
677,1216091145,2,36
678,1216195671,1,9
679,1216323586,3,19
680,1216427927,8,66
681,1216456774,2,14
682,121680130,5,86
683,1216811096,4,6
684,121699415,1,4
685,1217067121,1,8
686,1217347941,1,21
687,1217370140,2,32
688,1217425704,2,15
689,1217743534,4,27
690,1217847022,2,5
691,1217985804,4,119
692,1218095913,1,3
693,121809710,2,61
694,1218200837,11,75
695,1218209872,1,13
696,1218237348,5,76
697,1218262216,1,30
698,1218753930,1,48
699,1218862516,10,68
700,121890299,9,48
701,1219072665,5,115
702,121916871,11,172
703,1219606550,5,19
704,1219919956,5,105
705,121996175,8,16
706,1220031281,3,9
707,1220077405,6,232
708,1220470961,20,129
709,1220496055,2,63
710,1220512343,3,45
711,1220513725,2,58
712,1220562049,1,17
713,122066938,1,16
714,1220761185,2,43
715,1220778494,2,14
716,1220807746,8,126
717,1220962187,4,72
718,1221218874,1,18
719,1221219011,52,409
720,1221368641,3,287
721,1221410665,7,16
722,1221439708,7,31
723,1221551822,3,43
724,1221626345,11,118
725,1221811721,10,23
726,1222180101,1,41
727,122224463,14,720
728,1222367555,1,8
729,1222462685,2,22
730,1222618083,1,71
731,1222741431,5,20
732,122283408,5,6
733,1222841338,1,57
734,1223074268,1,2
735,1223283122,1,16
736,1223316603,1,25
737,122333087,4,16
738,1223485530,1,3
739,1223682277,1,67
740,1223747355,9,188
