,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
65,OWL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Wireless sensor network,0.5,1.0,0.116,0.343,0.2,0.3,0.4,0.5
67,Semantic role labeling,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
68,Continuous-time Markov chain,0.0,1.0,0.0,0.639,0.0,0.0,0.8,0.7
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.558,0.0,0.0,0.6,0.7
70,Propagation of uncertainty,0.0,0.2,0.0,0.02,0.0,0.0,0.2,0.1
71,Fast Fourier transform,1.0,1.0,0.152,0.284,0.2,0.3,0.4,0.5
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.0,1.0,0.0,0.342,0.0,0.0,0.6,0.4
75,Knowledge extraction,0.5,1.0,0.12,0.596,0.4,0.3,0.8,0.7
76,Computational biology,0.5,1.0,0.211,0.566,0.4,0.4,0.6,0.7
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.5,1.0,0.192,0.462,0.6,0.3,0.8,0.5
79,Video denoising,0.125,0.125,0.032,0.032,0.0,0.2,0.0,0.2
80,Quantum information science,0.5,1.0,0.192,0.6,0.6,0.3,1.0,0.6
81,Color quantization,0.125,0.333,0.012,0.088,0.0,0.1,0.2,0.3
82,social web,0.5,1.0,0.05,0.413,0.2,0.1,0.6,0.5
83,entity linking,0.5,0.5,0.05,0.05,0.2,0.1,0.2,0.1
84,information privacy,1.0,1.0,0.483,0.483,0.8,0.5,0.8,0.5
85,random forest,1.0,1.0,0.332,0.332,0.6,0.4,0.6,0.4
86,cloud computing,0.5,0.5,0.256,0.256,0.4,0.5,0.4,0.5
87,Knapsack problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Linear algebra,0.5,1.0,0.16,0.671,0.4,0.3,0.6,0.8
89,batch processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,rule induction,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.1
91,Uncertainty quantification,0.0,1.0,0.0,0.477,0.0,0.0,0.8,0.6
92,Computer architecture,0.5,1.0,0.197,0.9,0.4,0.4,1.0,0.9
93,Best-first search,0.167,0.167,0.017,0.017,0.0,0.1,0.0,0.1
94,Gaussian random field,0.0,1.0,0.0,0.31,0.0,0.0,0.6,0.4
95,Support vector machine,1.0,1.0,0.8,0.8,1.0,0.8,1.0,0.8
96,ontology language,0.0,0.5,0.0,0.232,0.0,0.0,0.4,0.5
97,machine translation,0.0,1.0,0.0,0.631,0.0,0.0,0.6,0.8
98,middleware,1.0,1.0,0.12,0.12,0.2,0.2,0.2,0.2
99,Newton's method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
