,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
65,OWL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Wireless sensor network,0.5,1.0,0.116,0.348,0.2,0.3,0.4,0.5
67,Semantic role labeling,0.5,0.5,0.05,0.05,0.2,0.1,0.2,0.1
68,Continuous-time Markov chain,0.0,1.0,0.0,0.535,0.0,0.0,0.6,0.7
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.588,0.0,0.0,0.8,0.7
70,Propagation of uncertainty,1.0,1.0,0.1,0.15,0.2,0.1,0.4,0.2
71,Fast Fourier transform,1.0,1.0,0.155,0.29,0.2,0.3,0.4,0.5
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.0,1.0,0.0,0.257,0.0,0.0,0.4,0.4
75,Knowledge extraction,0.5,1.0,0.237,0.55,0.4,0.5,0.6,0.7
76,Computational biology,0.5,1.0,0.207,0.575,0.4,0.4,0.6,0.7
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.5,1.0,0.117,0.407,0.4,0.2,0.6,0.5
79,Video denoising,0.143,0.143,0.037,0.037,0.0,0.2,0.0,0.2
80,Quantum information science,0.5,1.0,0.192,0.586,0.6,0.3,1.0,0.6
81,Color quantization,0.0,0.333,0.0,0.067,0.0,0.0,0.2,0.2
82,social web,0.5,1.0,0.108,0.599,0.2,0.3,0.8,0.7
83,entity linking,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
84,information privacy,1.0,1.0,0.483,0.483,0.8,0.5,0.8,0.5
85,random forest,1.0,1.0,0.38,0.38,0.8,0.4,0.8,0.4
86,cloud computing,0.167,0.167,0.017,0.017,0.0,0.1,0.0,0.1
