,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
75,Knowledge extraction,0.5,1.0,0.243,0.558,0.4,0.5,0.6,0.7
76,Computational biology,0.5,1.0,0.207,0.575,0.4,0.4,0.6,0.7
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.5,1.0,0.1,0.462,0.4,0.2,0.8,0.5
79,Video denoising,0.143,0.143,0.037,0.037,0.0,0.2,0.0,0.2
80,Quantum information science,0.0,1.0,0.0,0.348,0.0,0.0,0.4,0.5
81,Color quantization,0.111,1.0,0.011,0.223,0.0,0.1,0.4,0.4
82,social web,0.0,1.0,0.0,0.599,0.0,0.0,0.8,0.7
83,entity linking,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
84,information privacy,1.0,1.0,0.483,0.483,0.8,0.5,0.8,0.5
85,random forest,1.0,1.0,0.2,0.2,0.4,0.2,0.4,0.2
86,cloud computing,0.333,0.333,0.062,0.062,0.2,0.2,0.2,0.2
87,Knapsack problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Linear algebra,0.333,1.0,0.033,0.78,0.2,0.1,1.0,0.8
89,batch processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,rule induction,0.0,0.167,0.0,0.017,0.0,0.0,0.0,0.1
91,Uncertainty quantification,0.0,1.0,0.0,0.563,0.0,0.0,0.8,0.7
92,Computer architecture,0.5,0.5,0.192,0.588,0.6,0.3,0.8,0.8
93,Best-first search,0.167,0.167,0.017,0.017,0.0,0.1,0.0,0.1
94,Gaussian random field,0.0,1.0,0.0,0.243,0.0,0.0,0.4,0.3
95,Support vector machine,1.0,1.0,0.56,0.56,1.0,0.6,1.0,0.6
96,ontology language,0.0,0.5,0.0,0.187,0.0,0.0,0.4,0.4
97,machine translation,0.0,1.0,0.0,0.631,0.0,0.0,0.6,0.8
98,middleware,1.0,1.0,0.12,0.12,0.2,0.2,0.2,0.2
99,Newton's method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
