,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
59,deconvolution,0.25,1.0,0.065,0.758,0.4,0.2,1.0,0.8
60,Latent Dirichlet allocation,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
61,Euclidian distance,0.0,1.0,0.0,0.667,0.0,0.0,0.8,0.8
62,web service,0.5,1.0,0.415,1.0,0.8,0.6,1.0,1.0
63,multi-task learning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Linear separability,0.0,0.333,0.0,0.514,0.0,0.0,0.6,0.8
65,OWL-S,0.333,0.333,0.058,0.058,0.2,0.2,0.2,0.2
66,Wireless sensor network,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
67,Semantic role labeling,1.0,1.0,0.879,0.879,1.0,0.9,1.0,0.9
68,Continuous-time Markov chain,0.25,1.0,0.025,1.0,0.2,0.1,1.0,1.0
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.737,0.0,0.0,0.8,0.8
70,Propagation of uncertainty,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.4
71,Fast Fourier transform,1.0,1.0,0.653,0.776,1.0,0.7,1.0,0.8
72,Security token,0.333,0.333,0.033,0.033,0.2,0.1,0.2,0.1
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.125,0.5,0.012,0.46,0.0,0.1,0.6,0.7
75,Knowledge extraction,1.0,1.0,0.234,0.648,0.4,0.4,0.8,0.8
76,Computational biology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.5,1.0,0.05,0.636,0.2,0.1,0.8,0.7
79,Video denoising,1.0,1.0,0.377,0.377,0.6,0.5,0.6,0.5
80,Quantum information science,0.5,1.0,0.492,1.0,0.8,0.7,1.0,1.0
81,Color quantization,0.5,1.0,0.07,0.866,0.2,0.2,1.0,0.9
82,social web,0.5,1.0,0.194,1.0,0.4,0.4,1.0,1.0
83,entity linking,1.0,1.0,0.163,0.276,0.2,0.3,0.2,0.5
84,information privacy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,random forest,1.0,1.0,0.757,0.757,0.8,0.9,0.8,0.9
86,cloud computing,1.0,1.0,0.513,0.513,0.8,0.6,0.8,0.6
87,Knapsack problem,0.111,0.111,0.031,0.031,0.0,0.2,0.0,0.2
88,Linear algebra,0.333,1.0,0.434,1.0,0.6,0.7,1.0,1.0
89,batch processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,rule induction,0.0,0.333,0.0,0.033,0.0,0.0,0.2,0.1
91,Uncertainty quantification,0.0,1.0,0.0,0.7,0.0,0.0,1.0,0.7
92,Computer architecture,0.5,1.0,0.448,1.0,0.6,0.7,1.0,1.0
93,Best-first search,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
94,Gaussian random field,0.5,0.5,0.147,0.261,0.4,0.3,0.4,0.5
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,1.0,1.0,0.2,1.0,0.4,0.3,1.0,1.0
97,machine translation,1.0,1.0,0.757,1.0,0.8,0.9,1.0,1.0
98,middleware,0.5,0.5,0.243,0.243,0.6,0.4,0.6,0.4
99,Newton's method,1.0,1.0,0.704,0.704,0.8,0.8,0.8,0.8
