,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
23,world wide web,1.0,1.0,1.0,1.0,0.876,0.879,0.876,0.879,1.0,0.9,0.933,0.95,0.96,0.967,0.971,0.925,0.933,0.92,1.0,0.9,0.933,0.95,0.96,0.967,0.971,0.925,0.933,0.92
24,gibbs sampling,1.0,1.0,1.0,1.0,0.49,0.733,0.49,0.733,1.0,0.8,0.867,0.85,0.8,0.8,0.686,0.625,0.578,0.6,1.0,0.8,0.867,0.85,0.8,0.8,0.686,0.625,0.578,0.6
25,user interface,0.333,0.333,0.333,0.333,0.39,0.341,0.39,0.341,0.6,0.6,0.6,0.65,0.64,0.667,0.629,0.6,0.622,0.62,0.6,0.6,0.6,0.65,0.64,0.667,0.629,0.6,0.622,0.62
26,belief propagation,1.0,1.0,1.0,1.0,0.34,0.348,0.862,0.89,0.6,0.5,0.467,0.5,0.52,0.6,0.629,0.575,0.578,0.58,1.0,0.9,0.867,0.9,0.92,0.933,0.943,0.95,0.933,0.92
27,interpolation,0.333,0.333,0.333,0.333,0.228,0.296,0.252,0.296,0.4,0.6,0.533,0.5,0.48,0.467,0.486,0.45,0.489,0.46,0.4,0.6,0.6,0.55,0.52,0.5,0.514,0.475,0.511,0.48
28,wavelet transform,1.0,1.0,1.0,1.0,0.808,1.0,0.922,1.0,1.0,1.0,1.0,1.0,0.96,0.933,0.943,0.875,0.867,0.84,1.0,1.0,1.0,1.0,1.0,0.967,0.971,0.95,0.933,0.94
29,transfer of learning,1.0,1.0,1.0,1.0,0.611,1.0,0.611,1.0,1.0,1.0,0.933,0.95,0.84,0.767,0.686,0.7,0.711,0.7,1.0,1.0,0.933,0.95,0.84,0.767,0.686,0.7,0.711,0.7
30,topic model,1.0,1.0,1.0,1.0,0.426,0.79,0.441,0.79,0.8,0.9,0.8,0.85,0.8,0.7,0.629,0.55,0.533,0.54,0.8,0.9,0.8,0.85,0.8,0.7,0.629,0.575,0.556,0.56
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,0.531,1.0,0.531,1.0,1.0,1.0,1.0,0.85,0.8,0.8,0.743,0.675,0.622,0.6,1.0,1.0,1.0,0.85,0.8,0.8,0.743,0.675,0.622,0.6
32,game theory,0.5,0.5,0.5,0.5,0.677,0.608,0.792,0.608,0.8,0.8,0.8,0.8,0.84,0.867,0.857,0.875,0.867,0.82,0.8,0.8,0.867,0.9,0.92,0.933,0.914,0.925,0.933,0.9
