,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
75,Knowledge extraction,0.5,1.0,0.242,0.546,0.6,0.4,0.8,0.6
76,Computational biology,0.5,1.0,0.217,0.579,0.6,0.4,0.8,0.7
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.333,1.0,0.033,0.417,0.2,0.1,0.6,0.5
79,Video denoising,0.125,0.125,0.035,0.035,0.0,0.2,0.0,0.2
80,Quantum information science,0.5,1.0,0.05,0.56,0.2,0.1,1.0,0.6
81,Color quantization,0.125,0.5,0.012,0.242,0.0,0.1,0.6,0.4
82,social web,0.5,1.0,0.05,0.583,0.2,0.1,0.6,0.7
83,entity linking,0.5,0.5,0.05,0.05,0.2,0.1,0.2,0.1
84,information privacy,1.0,1.0,0.567,0.567,1.0,0.6,1.0,0.6
85,random forest,1.0,1.0,0.129,0.129,0.2,0.2,0.2,0.2
86,cloud computing,0.167,0.167,0.017,0.017,0.0,0.1,0.0,0.1
87,Knapsack problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Linear algebra,0.5,1.0,0.09,0.7,0.4,0.2,0.8,0.8
89,batch processing,0.111,0.111,0.011,0.011,0.0,0.1,0.0,0.1
90,rule induction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Uncertainty quantification,0.25,1.0,0.025,0.563,0.2,0.1,0.8,0.7
92,Computer architecture,1.0,1.0,0.247,1.0,0.4,0.4,1.0,1.0
93,Best-first search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Gaussian random field,0.25,1.0,0.065,0.355,0.4,0.2,0.8,0.4
95,Support vector machine,1.0,1.0,0.8,0.8,1.0,0.8,1.0,0.8
96,ontology language,0.0,0.5,0.0,0.165,0.0,0.0,0.2,0.4
97,machine translation,0.1,1.0,0.01,0.659,0.0,0.1,0.8,0.8
98,middleware,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
99,Newton's method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
