,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
75,Knowledge extraction,1.0,1.0,0.243,0.7,0.4,0.3,0.8,0.8
76,Computational biology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.0,1.0,0.0,0.492,0.0,0.0,0.6,0.7
79,Video denoising,0.5,0.5,0.117,0.117,0.4,0.2,0.4,0.2
80,Quantum information science,0.5,1.0,0.48,1.0,0.8,0.7,1.0,1.0
81,Color quantization,1.0,1.0,0.1,0.815,0.2,0.1,0.8,0.9
82,social web,0.25,1.0,0.115,0.9,0.4,0.3,1.0,0.9
83,entity linking,1.0,1.0,0.376,0.376,0.4,0.6,0.4,0.6
84,information privacy,1.0,1.0,0.8,0.8,1.0,0.8,1.0,0.8
85,random forest,1.0,1.0,0.667,0.667,0.8,0.8,0.8,0.8
86,cloud computing,1.0,1.0,0.538,0.538,0.8,0.6,0.8,0.6
87,Knapsack problem,0.25,0.25,0.235,0.235,0.4,0.5,0.4,0.5
88,Linear algebra,0.2,0.25,0.146,0.295,0.2,0.4,0.4,0.6
89,batch processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,rule induction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Uncertainty quantification,0.125,1.0,0.035,1.0,0.0,0.2,1.0,1.0
92,Computer architecture,1.0,1.0,0.375,1.0,0.6,0.5,1.0,1.0
93,Best-first search,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
94,Gaussian random field,0.5,0.5,0.117,0.15,0.4,0.2,0.4,0.3
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,0.5,1.0,0.126,1.0,0.2,0.3,1.0,1.0
97,machine translation,1.0,1.0,0.79,1.0,0.8,0.9,1.0,1.0
98,middleware,0.333,0.333,0.143,0.143,0.6,0.3,0.6,0.3
99,Newton's method,1.0,1.0,0.579,0.579,0.8,0.7,0.8,0.7
