,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
23,world wide web,1.0,1.0,1.0,1.0,0.228,0.373,0.302,0.465,0.6,0.5,0.6,0.6,0.48,0.467,0.4,0.4,0.4,0.4,0.6,0.6,0.667,0.65,0.52,0.5,0.429,0.425,0.467,0.5
24,gibbs sampling,1.0,1.0,1.0,1.0,0.119,0.247,0.125,0.247,0.4,0.4,0.4,0.4,0.36,0.367,0.343,0.3,0.289,0.26,0.4,0.4,0.4,0.4,0.36,0.367,0.343,0.3,0.311,0.28
25,user interface,1.0,1.0,1.0,1.0,0.152,0.35,0.152,0.35,0.4,0.5,0.4,0.4,0.36,0.333,0.314,0.3,0.311,0.32,0.4,0.5,0.4,0.4,0.36,0.333,0.314,0.3,0.311,0.32
26,belief propagation,1.0,1.0,1.0,1.0,0.05,0.1,0.067,0.125,0.2,0.1,0.133,0.1,0.16,0.133,0.143,0.175,0.178,0.2,0.2,0.2,0.2,0.15,0.2,0.167,0.171,0.2,0.222,0.24
27,interpolation,0.333,0.333,0.333,0.333,0.046,0.058,0.046,0.058,0.2,0.2,0.133,0.15,0.16,0.2,0.2,0.175,0.2,0.22,0.2,0.2,0.133,0.15,0.16,0.2,0.2,0.175,0.2,0.22
28,wavelet transform,1.0,1.0,1.0,1.0,0.065,0.1,0.099,0.2,0.2,0.1,0.133,0.15,0.28,0.233,0.229,0.2,0.222,0.22,0.4,0.2,0.2,0.2,0.32,0.267,0.257,0.225,0.244,0.26
29,transfer of learning,1.0,1.0,1.0,1.0,0.108,0.3,0.108,0.3,0.6,0.3,0.333,0.25,0.24,0.233,0.2,0.2,0.2,0.24,0.6,0.3,0.333,0.25,0.24,0.233,0.2,0.2,0.2,0.24
30,topic model,0.333,0.333,0.333,0.333,0.022,0.033,0.032,0.058,0.2,0.1,0.067,0.1,0.12,0.133,0.114,0.1,0.111,0.14,0.2,0.2,0.133,0.15,0.16,0.167,0.143,0.125,0.133,0.16
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,0.313,0.608,0.328,0.608,0.8,0.7,0.667,0.55,0.52,0.533,0.486,0.475,0.511,0.48,0.8,0.7,0.667,0.55,0.52,0.567,0.514,0.5,0.533,0.5
32,game theory,0.167,0.167,0.167,0.167,0.04,0.075,0.047,0.075,0.0,0.3,0.2,0.2,0.2,0.2,0.171,0.175,0.2,0.18,0.0,0.3,0.2,0.2,0.24,0.233,0.2,0.2,0.222,0.2
