,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
45,eye tracking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,query optimization,0.5,1.0,0.079,0.357,0.2,0.2,0.6,0.4
47,logic programming,0.5,0.5,0.05,0.226,0.2,0.1,0.2,0.5
48,Hyperspectral imaging,1.0,1.0,0.133,0.133,0.2,0.2,0.2,0.2
49,Bayesian statistics,0.5,1.0,0.075,0.89,0.2,0.2,1.0,0.9
50,kernel density estimation,1.0,1.0,0.375,0.599,0.6,0.5,0.8,0.7
51,learning to rank,0.5,0.5,0.108,0.108,0.2,0.3,0.2,0.3
52,relational database,1.0,1.0,0.48,1.0,0.6,0.6,1.0,1.0
53,activity recognition,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.1
54,wearable computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,big data,1.0,1.0,0.373,0.446,0.6,0.5,0.6,0.6
56,ensemble learning,0.5,0.5,0.133,0.173,0.4,0.3,0.4,0.4
57,wordnet,0.0,0.333,0.0,0.033,0.0,0.0,0.2,0.1
58,medical imaging,1.0,1.0,0.155,0.866,0.2,0.3,1.0,0.9
59,deconvolution,1.0,1.0,0.1,0.716,0.2,0.1,0.8,0.8
60,Latent Dirichlet allocation,0.1,0.5,0.01,0.166,0.0,0.1,0.2,0.4
61,Euclidian distance,0.0,1.0,0.0,0.375,0.0,0.0,0.4,0.6
62,web service,0.0,0.5,0.0,0.24,0.0,0.0,0.4,0.5
63,multi-task learning,1.0,1.0,0.3,0.38,0.6,0.3,0.8,0.4
64,Linear separability,0.0,1.0,0.0,0.852,0.0,0.0,1.0,0.9
65,OWL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Wireless sensor network,0.5,1.0,0.116,0.343,0.2,0.3,0.4,0.5
67,Semantic role labeling,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
68,Continuous-time Markov chain,0.0,1.0,0.0,0.673,0.0,0.0,1.0,0.7
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.558,0.0,0.0,0.6,0.7
70,Propagation of uncertainty,0.0,0.2,0.0,0.02,0.0,0.0,0.2,0.1
71,Fast Fourier transform,1.0,1.0,0.152,0.284,0.2,0.3,0.4,0.5
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.0,1.0,0.0,0.397,0.0,0.0,0.6,0.5
75,Knowledge extraction,1.0,1.0,0.356,0.835,0.4,0.5,0.8,0.9
76,Computational biology,0.5,1.0,0.211,0.566,0.4,0.4,0.6,0.7
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.333,1.0,0.033,0.407,0.2,0.1,0.6,0.5
79,Video denoising,0.125,0.125,0.032,0.032,0.0,0.2,0.0,0.2
80,Quantum information science,0.5,1.0,0.05,0.466,0.2,0.1,0.6,0.6
81,Color quantization,0.143,0.5,0.014,0.112,0.0,0.1,0.2,0.3
82,social web,0.5,1.0,0.05,0.556,0.2,0.1,0.6,0.7
83,entity linking,0.5,0.5,0.05,0.05,0.2,0.1,0.2,0.1
84,information privacy,1.0,1.0,0.483,0.483,0.8,0.5,0.8,0.5
85,random forest,1.0,1.0,0.38,0.38,0.8,0.4,0.8,0.4
86,cloud computing,0.5,0.5,0.266,0.266,0.6,0.5,0.6,0.5
87,Knapsack problem,0.167,0.167,0.017,0.017,0.0,0.1,0.0,0.1
88,Linear algebra,0.5,1.0,0.199,0.835,0.4,0.4,0.8,0.9
89,batch processing,0.111,0.111,0.011,0.011,0.0,0.1,0.0,0.1
90,rule induction,0.0,0.125,0.0,0.012,0.0,0.0,0.0,0.1
91,Uncertainty quantification,0.0,1.0,0.0,0.477,0.0,0.0,0.8,0.6
92,Computer architecture,0.5,1.0,0.346,0.852,0.6,0.6,1.0,0.9
93,Best-first search,0.111,0.111,0.011,0.011,0.0,0.1,0.0,0.1
94,Gaussian random field,0.0,1.0,0.0,0.243,0.0,0.0,0.4,0.3
95,Support vector machine,1.0,1.0,0.7,0.7,1.0,0.7,1.0,0.7
96,ontology language,0.0,0.5,0.0,0.232,0.0,0.0,0.4,0.5
97,machine translation,0.0,1.0,0.0,0.631,0.0,0.0,0.6,0.8
98,middleware,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
99,Newton's method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
