,Query,Exact,Approximate
0,cluster analysis,"{'2151264347': {'relevancy': True, 'rank': 0}, '2297453548': {'relevancy': True, 'rank': 1}, '2162010601': {'relevancy': True, 'rank': 2}, '219814910': {'relevancy': True, 'rank': 3}, '2052065285': {'relevancy': True, 'rank': 4}, '2130881427': {'relevancy': True, 'rank': 5}, '2593877498': {'relevancy': True, 'rank': 6}, '310734946': {'relevancy': True, 'rank': 7}, '2234654910': {'relevancy': True, 'rank': 8}, '2147372191': {'relevancy': True, 'rank': 9}, '1268354611': {'relevancy': True, 'rank': 10}, '2468679541': {'relevancy': True, 'rank': 11}, '85322476': {'relevancy': True, 'rank': 12}, '2119616764': {'relevancy': True, 'rank': 13}, '2112237679': {'relevancy': True, 'rank': 14}, '2011689237': {'relevancy': True, 'rank': 15}, '242745652': {'relevancy': True, 'rank': 16}, '2472069284': {'relevancy': True, 'rank': 17}, '2038503939': {'relevancy': True, 'rank': 18}, '130468041': {'relevancy': True, 'rank': 19}, '2003230124': {'relevancy': True, 'rank': 20}, '2027088710': {'relevancy': True, 'rank': 21}, '2018589324': {'relevancy': True, 'rank': 22}, '2169261213': {'relevancy': True, 'rank': 23}, '1980147247': {'relevancy': False, 'rank': 24}, '2100036403': {'relevancy': True, 'rank': 25}, '2234942671': {'relevancy': True, 'rank': 26}, '2296997895': {'relevancy': False, 'rank': 27}, '2092023269': {'relevancy': True, 'rank': 28}, '2116964878': {'relevancy': False, 'rank': 29}, '50498787': {'relevancy': False, 'rank': 30}, '2120281063': {'relevancy': True, 'rank': 31}, '2338244028': {'relevancy': False, 'rank': 32}, '2128559969': {'relevancy': True, 'rank': 33}, '2149218452': {'relevancy': True, 'rank': 34}, '2275963945': {'relevancy': False, 'rank': 35}, '2106722673': {'relevancy': True, 'rank': 36}, '1986781400': {'relevancy': True, 'rank': 37}, '2100772499': {'relevancy': True, 'rank': 38}, '671527850': {'relevancy': True, 'rank': 39}, '2015027442': {'relevancy': True, 'rank': 40}, '316694267': {'relevancy': True, 'rank': 41}, '2112493600': {'relevancy': True, 'rank': 42}, '2122789333': {'relevancy': True, 'rank': 43}, '2005481251': {'relevancy': True, 'rank': 44}, '2155512059': {'relevancy': True, 'rank': 45}, '2503600157': {'relevancy': False, 'rank': 46}, '2310709986': {'relevancy': True, 'rank': 47}, '2065219374': {'relevancy': True, 'rank': 48}, '2452435': {'relevancy': True, 'rank': 49}}","{'2151264347': {'relevancy': True, 'rank': 0}, '2297453548': {'relevancy': True, 'rank': 1}, '2162010601': {'relevancy': True, 'rank': 2}, '219814910': {'relevancy': True, 'rank': 3}, '2052065285': {'relevancy': True, 'rank': 4}, '2130881427': {'relevancy': True, 'rank': 5}, '2593877498': {'relevancy': True, 'rank': 6}, '310734946': {'relevancy': True, 'rank': 7}, '2234654910': {'relevancy': True, 'rank': 8}, '2147372191': {'relevancy': True, 'rank': 9}, '1268354611': {'relevancy': True, 'rank': 10}, '2468679541': {'relevancy': True, 'rank': 11}, '85322476': {'relevancy': True, 'rank': 12}, '2119616764': {'relevancy': True, 'rank': 13}, '2112237679': {'relevancy': True, 'rank': 14}, '2011689237': {'relevancy': True, 'rank': 15}, '242745652': {'relevancy': True, 'rank': 16}, '2472069284': {'relevancy': True, 'rank': 17}, '2038503939': {'relevancy': True, 'rank': 18}, '130468041': {'relevancy': True, 'rank': 19}, '2003230124': {'relevancy': True, 'rank': 20}, '2027088710': {'relevancy': True, 'rank': 21}, '2018589324': {'relevancy': True, 'rank': 22}, '2169261213': {'relevancy': True, 'rank': 23}, '1980147247': {'relevancy': False, 'rank': 24}, '2100036403': {'relevancy': True, 'rank': 25}, '2234942671': {'relevancy': True, 'rank': 26}, '2296997895': {'relevancy': False, 'rank': 27}, '2092023269': {'relevancy': True, 'rank': 28}, '2116964878': {'relevancy': False, 'rank': 29}, '50498787': {'relevancy': False, 'rank': 30}, '2120281063': {'relevancy': True, 'rank': 31}, '2338244028': {'relevancy': True, 'rank': 32}, '2128559969': {'relevancy': True, 'rank': 33}, '2149218452': {'relevancy': True, 'rank': 34}, '2275963945': {'relevancy': False, 'rank': 35}, '2106722673': {'relevancy': True, 'rank': 36}, '1986781400': {'relevancy': True, 'rank': 37}, '2100772499': {'relevancy': True, 'rank': 38}, '671527850': {'relevancy': True, 'rank': 39}, '2015027442': {'relevancy': True, 'rank': 40}, '316694267': {'relevancy': True, 'rank': 41}, '2112493600': {'relevancy': True, 'rank': 42}, '2122789333': {'relevancy': True, 'rank': 43}, '2005481251': {'relevancy': True, 'rank': 44}, '2155512059': {'relevancy': True, 'rank': 45}, '2503600157': {'relevancy': False, 'rank': 46}, '2310709986': {'relevancy': True, 'rank': 47}, '2065219374': {'relevancy': True, 'rank': 48}, '2452435': {'relevancy': True, 'rank': 49}}"
1,Image segmentation,"{'2485693601': {'relevancy': True, 'rank': 0}, '2066208128': {'relevancy': True, 'rank': 1}, '2065104188': {'relevancy': True, 'rank': 2}, '2136642730': {'relevancy': True, 'rank': 3}, '2095609082': {'relevancy': True, 'rank': 4}, '2303296323': {'relevancy': False, 'rank': 5}, '2162010601': {'relevancy': True, 'rank': 6}, '213607884': {'relevancy': True, 'rank': 7}, '2251237390': {'relevancy': True, 'rank': 8}, '2013206790': {'relevancy': True, 'rank': 9}, '155174508': {'relevancy': True, 'rank': 10}, '677134955': {'relevancy': True, 'rank': 11}, '2057372075': {'relevancy': True, 'rank': 12}, '2002213426': {'relevancy': True, 'rank': 13}, '2627274314': {'relevancy': True, 'rank': 14}, '346920127': {'relevancy': True, 'rank': 15}, '2107357764': {'relevancy': True, 'rank': 16}, '2121310506': {'relevancy': True, 'rank': 17}, '2153496801': {'relevancy': True, 'rank': 18}, '2006600044': {'relevancy': True, 'rank': 19}, '2422903718': {'relevancy': True, 'rank': 20}, '2138625242': {'relevancy': True, 'rank': 21}, '2119976073': {'relevancy': True, 'rank': 22}, '2566401185': {'relevancy': True, 'rank': 23}, '2058895776': {'relevancy': True, 'rank': 24}, '2079978182': {'relevancy': True, 'rank': 25}, '2128362942': {'relevancy': True, 'rank': 26}, '2490753878': {'relevancy': False, 'rank': 27}, '2105979260': {'relevancy': False, 'rank': 28}, '2516465340': {'relevancy': False, 'rank': 29}, '2096891736': {'relevancy': True, 'rank': 30}, '66946524': {'relevancy': True, 'rank': 31}, '66555014': {'relevancy': True, 'rank': 32}, '42768779': {'relevancy': True, 'rank': 33}, '2662678825': {'relevancy': False, 'rank': 34}, '2130918525': {'relevancy': True, 'rank': 35}, '273196668': {'relevancy': True, 'rank': 36}, '2051331017': {'relevancy': False, 'rank': 37}, '2313998105': {'relevancy': True, 'rank': 38}, '713914351': {'relevancy': True, 'rank': 39}, '1996357287': {'relevancy': True, 'rank': 40}, '1984512120': {'relevancy': True, 'rank': 41}, '2125315204': {'relevancy': True, 'rank': 42}, '2105249686': {'relevancy': True, 'rank': 43}, '2169057019': {'relevancy': True, 'rank': 44}, '2028854303': {'relevancy': False, 'rank': 45}, '2115592444': {'relevancy': True, 'rank': 46}, '2041096911': {'relevancy': True, 'rank': 47}, '2687246727': {'relevancy': False, 'rank': 48}, '2483903976': {'relevancy': True, 'rank': 49}}","{'2485693601': {'relevancy': True, 'rank': 0}, '2066208128': {'relevancy': True, 'rank': 1}, '2065104188': {'relevancy': True, 'rank': 2}, '2136642730': {'relevancy': True, 'rank': 3}, '2095609082': {'relevancy': True, 'rank': 4}, '2303296323': {'relevancy': False, 'rank': 5}, '2162010601': {'relevancy': True, 'rank': 6}, '213607884': {'relevancy': True, 'rank': 7}, '2251237390': {'relevancy': True, 'rank': 8}, '2013206790': {'relevancy': True, 'rank': 9}, '155174508': {'relevancy': True, 'rank': 10}, '677134955': {'relevancy': True, 'rank': 11}, '2057372075': {'relevancy': True, 'rank': 12}, '2002213426': {'relevancy': True, 'rank': 13}, '2627274314': {'relevancy': True, 'rank': 14}, '346920127': {'relevancy': True, 'rank': 15}, '2107357764': {'relevancy': True, 'rank': 16}, '2121310506': {'relevancy': True, 'rank': 17}, '2153496801': {'relevancy': True, 'rank': 18}, '2006600044': {'relevancy': True, 'rank': 19}, '2422903718': {'relevancy': True, 'rank': 20}, '2138625242': {'relevancy': True, 'rank': 21}, '2119976073': {'relevancy': True, 'rank': 22}, '2566401185': {'relevancy': True, 'rank': 23}, '2058895776': {'relevancy': True, 'rank': 24}, '2079978182': {'relevancy': True, 'rank': 25}, '2128362942': {'relevancy': True, 'rank': 26}, '2490753878': {'relevancy': False, 'rank': 27}, '2105979260': {'relevancy': False, 'rank': 28}, '2516465340': {'relevancy': False, 'rank': 29}, '2096891736': {'relevancy': True, 'rank': 30}, '66946524': {'relevancy': True, 'rank': 31}, '66555014': {'relevancy': True, 'rank': 32}, '42768779': {'relevancy': True, 'rank': 33}, '2662678825': {'relevancy': True, 'rank': 34}, '2130918525': {'relevancy': True, 'rank': 35}, '273196668': {'relevancy': True, 'rank': 36}, '2051331017': {'relevancy': False, 'rank': 37}, '2313998105': {'relevancy': True, 'rank': 38}, '713914351': {'relevancy': True, 'rank': 39}, '1996357287': {'relevancy': True, 'rank': 40}, '1984512120': {'relevancy': True, 'rank': 41}, '2125315204': {'relevancy': True, 'rank': 42}, '2105249686': {'relevancy': True, 'rank': 43}, '2169057019': {'relevancy': True, 'rank': 44}, '2028854303': {'relevancy': True, 'rank': 45}, '2115592444': {'relevancy': True, 'rank': 46}, '2041096911': {'relevancy': True, 'rank': 47}, '2687246727': {'relevancy': False, 'rank': 48}, '2483903976': {'relevancy': True, 'rank': 49}}"
2,Parallel algorithm,"{'548869711': {'relevancy': False, 'rank': 0}, '2302225927': {'relevancy': True, 'rank': 1}, '80220757': {'relevancy': True, 'rank': 2}, '1964658237': {'relevancy': True, 'rank': 3}, '2207318694': {'relevancy': True, 'rank': 4}, '2224270997': {'relevancy': False, 'rank': 5}, '2161062602': {'relevancy': True, 'rank': 6}, '219814910': {'relevancy': True, 'rank': 7}, '1988624275': {'relevancy': False, 'rank': 8}, '2144828366': {'relevancy': True, 'rank': 9}, '2156135343': {'relevancy': True, 'rank': 10}, '2149806870': {'relevancy': False, 'rank': 11}, '87749410': {'relevancy': True, 'rank': 12}, '191979884': {'relevancy': False, 'rank': 13}, '2199665864': {'relevancy': True, 'rank': 14}, '125940650': {'relevancy': True, 'rank': 15}, '2630320340': {'relevancy': True, 'rank': 16}, '2666702443': {'relevancy': False, 'rank': 17}, '2106270954': {'relevancy': False, 'rank': 18}, '2501552208': {'relevancy': True, 'rank': 19}, '2663591080': {'relevancy': False, 'rank': 20}, '1840996353': {'relevancy': True, 'rank': 21}, '2153140827': {'relevancy': True, 'rank': 22}, '2076086827': {'relevancy': True, 'rank': 23}, '356043702': {'relevancy': True, 'rank': 24}, '418427329': {'relevancy': False, 'rank': 25}, '594049255': {'relevancy': False, 'rank': 26}, '1888566757': {'relevancy': True, 'rank': 27}, '2397379383': {'relevancy': False, 'rank': 28}, '1967887859': {'relevancy': False, 'rank': 29}, '1961400646': {'relevancy': False, 'rank': 30}, '2094352705': {'relevancy': False, 'rank': 31}, '687383570': {'relevancy': True, 'rank': 32}, '2153264145': {'relevancy': True, 'rank': 33}, '1478997493': {'relevancy': True, 'rank': 34}, '2503975351': {'relevancy': False, 'rank': 35}, '2165836321': {'relevancy': False, 'rank': 36}, '2557980407': {'relevancy': True, 'rank': 37}, '2222994316': {'relevancy': False, 'rank': 38}, '2149659377': {'relevancy': False, 'rank': 39}, '2114138198': {'relevancy': False, 'rank': 40}, '2471893859': {'relevancy': False, 'rank': 41}, '2123462126': {'relevancy': False, 'rank': 42}, '2157503142': {'relevancy': False, 'rank': 43}, '2238215317': {'relevancy': False, 'rank': 44}, '2060104901': {'relevancy': False, 'rank': 45}, '2165917828': {'relevancy': True, 'rank': 46}, '2123376977': {'relevancy': True, 'rank': 47}, '2138427228': {'relevancy': True, 'rank': 48}, '2309678857': {'relevancy': False, 'rank': 49}}","{'548869711': {'relevancy': False, 'rank': 0}, '2302225927': {'relevancy': True, 'rank': 1}, '80220757': {'relevancy': True, 'rank': 2}, '1964658237': {'relevancy': True, 'rank': 3}, '2207318694': {'relevancy': True, 'rank': 4}, '2224270997': {'relevancy': False, 'rank': 5}, '2161062602': {'relevancy': True, 'rank': 6}, '219814910': {'relevancy': True, 'rank': 7}, '1988624275': {'relevancy': False, 'rank': 8}, '2144828366': {'relevancy': True, 'rank': 9}, '2156135343': {'relevancy': True, 'rank': 10}, '2149806870': {'relevancy': False, 'rank': 11}, '87749410': {'relevancy': True, 'rank': 12}, '191979884': {'relevancy': False, 'rank': 13}, '2199665864': {'relevancy': True, 'rank': 14}, '125940650': {'relevancy': True, 'rank': 15}, '2630320340': {'relevancy': True, 'rank': 16}, '2666702443': {'relevancy': False, 'rank': 17}, '2106270954': {'relevancy': True, 'rank': 18}, '2501552208': {'relevancy': True, 'rank': 19}, '2663591080': {'relevancy': False, 'rank': 20}, '1840996353': {'relevancy': True, 'rank': 21}, '2153140827': {'relevancy': True, 'rank': 22}, '2076086827': {'relevancy': True, 'rank': 23}, '356043702': {'relevancy': True, 'rank': 24}, '418427329': {'relevancy': False, 'rank': 25}, '594049255': {'relevancy': True, 'rank': 26}, '1888566757': {'relevancy': True, 'rank': 27}, '2397379383': {'relevancy': True, 'rank': 28}, '1967887859': {'relevancy': True, 'rank': 29}, '1961400646': {'relevancy': False, 'rank': 30}, '2094352705': {'relevancy': True, 'rank': 31}, '687383570': {'relevancy': True, 'rank': 32}, '2153264145': {'relevancy': True, 'rank': 33}, '1478997493': {'relevancy': True, 'rank': 34}, '2503975351': {'relevancy': False, 'rank': 35}, '2165836321': {'relevancy': False, 'rank': 36}, '2557980407': {'relevancy': True, 'rank': 37}, '2222994316': {'relevancy': True, 'rank': 38}, '2149659377': {'relevancy': True, 'rank': 39}, '2114138198': {'relevancy': False, 'rank': 40}, '2471893859': {'relevancy': True, 'rank': 41}, '2123462126': {'relevancy': False, 'rank': 42}, '2157503142': {'relevancy': False, 'rank': 43}, '2238215317': {'relevancy': False, 'rank': 44}, '2060104901': {'relevancy': False, 'rank': 45}, '2165917828': {'relevancy': True, 'rank': 46}, '2123376977': {'relevancy': True, 'rank': 47}, '2138427228': {'relevancy': True, 'rank': 48}, '2309678857': {'relevancy': False, 'rank': 49}}"
3,Monte Carlo method,"{'1985963267': {'relevancy': True, 'rank': 0}, '1977909497': {'relevancy': True, 'rank': 1}, '2289324944': {'relevancy': True, 'rank': 2}, '2593774290': {'relevancy': True, 'rank': 3}, '2154272878': {'relevancy': True, 'rank': 4}, '2056153991': {'relevancy': True, 'rank': 5}, '323956792': {'relevancy': True, 'rank': 6}, '617670330': {'relevancy': True, 'rank': 7}, '2302106352': {'relevancy': True, 'rank': 8}, '1776718037': {'relevancy': True, 'rank': 9}, '1973671213': {'relevancy': True, 'rank': 10}, '2435751034': {'relevancy': True, 'rank': 11}, '1964658237': {'relevancy': True, 'rank': 12}, '2075956027': {'relevancy': True, 'rank': 13}, '2124740774': {'relevancy': True, 'rank': 14}, '348248771': {'relevancy': True, 'rank': 15}, '2701290650': {'relevancy': True, 'rank': 16}, '2137237083': {'relevancy': True, 'rank': 17}, '1403805574': {'relevancy': True, 'rank': 18}, '2305133348': {'relevancy': True, 'rank': 19}, '2243585439': {'relevancy': True, 'rank': 20}, '2618518865': {'relevancy': True, 'rank': 21}, '1525557627': {'relevancy': True, 'rank': 22}, '2058234366': {'relevancy': True, 'rank': 23}, '2401920469': {'relevancy': True, 'rank': 24}, '2550610498': {'relevancy': False, 'rank': 25}, '2437776675': {'relevancy': True, 'rank': 26}, '2584810180': {'relevancy': False, 'rank': 27}, '2463178175': {'relevancy': True, 'rank': 28}, '2686206421': {'relevancy': True, 'rank': 29}, '120466312': {'relevancy': True, 'rank': 30}, '2117698481': {'relevancy': True, 'rank': 31}, '13811602': {'relevancy': True, 'rank': 32}, '2147692992': {'relevancy': True, 'rank': 33}, '1806403957': {'relevancy': True, 'rank': 34}, '2029140291': {'relevancy': True, 'rank': 35}, '2052344196': {'relevancy': True, 'rank': 36}, '2650331183': {'relevancy': False, 'rank': 37}, '2148425697': {'relevancy': True, 'rank': 38}, '2161373908': {'relevancy': True, 'rank': 39}, '2064927078': {'relevancy': True, 'rank': 40}, '2515564654': {'relevancy': False, 'rank': 41}, '2156460610': {'relevancy': False, 'rank': 42}, '2099325229': {'relevancy': False, 'rank': 43}, '657437189': {'relevancy': True, 'rank': 44}, '2097653880': {'relevancy': True, 'rank': 45}, '2070953463': {'relevancy': True, 'rank': 46}, '2001057030': {'relevancy': True, 'rank': 47}, '2126135973': {'relevancy': False, 'rank': 48}, '2082297574': {'relevancy': True, 'rank': 49}}","{'1985963267': {'relevancy': True, 'rank': 0}, '1977909497': {'relevancy': True, 'rank': 1}, '2289324944': {'relevancy': True, 'rank': 2}, '2593774290': {'relevancy': True, 'rank': 3}, '2154272878': {'relevancy': True, 'rank': 4}, '2056153991': {'relevancy': True, 'rank': 5}, '323956792': {'relevancy': True, 'rank': 6}, '617670330': {'relevancy': True, 'rank': 7}, '2302106352': {'relevancy': True, 'rank': 8}, '1776718037': {'relevancy': True, 'rank': 9}, '1973671213': {'relevancy': True, 'rank': 10}, '2435751034': {'relevancy': True, 'rank': 11}, '1964658237': {'relevancy': True, 'rank': 12}, '2075956027': {'relevancy': True, 'rank': 13}, '2124740774': {'relevancy': True, 'rank': 14}, '348248771': {'relevancy': True, 'rank': 15}, '2701290650': {'relevancy': True, 'rank': 16}, '2137237083': {'relevancy': True, 'rank': 17}, '1403805574': {'relevancy': True, 'rank': 18}, '2305133348': {'relevancy': True, 'rank': 19}, '2243585439': {'relevancy': True, 'rank': 20}, '2618518865': {'relevancy': True, 'rank': 21}, '1525557627': {'relevancy': True, 'rank': 22}, '2058234366': {'relevancy': True, 'rank': 23}, '2401920469': {'relevancy': True, 'rank': 24}, '2550610498': {'relevancy': True, 'rank': 25}, '2437776675': {'relevancy': True, 'rank': 26}, '2584810180': {'relevancy': False, 'rank': 27}, '2463178175': {'relevancy': True, 'rank': 28}, '2686206421': {'relevancy': True, 'rank': 29}, '120466312': {'relevancy': True, 'rank': 30}, '2117698481': {'relevancy': True, 'rank': 31}, '13811602': {'relevancy': True, 'rank': 32}, '2147692992': {'relevancy': True, 'rank': 33}, '1806403957': {'relevancy': True, 'rank': 34}, '2029140291': {'relevancy': True, 'rank': 35}, '2052344196': {'relevancy': True, 'rank': 36}, '2650331183': {'relevancy': False, 'rank': 37}, '2148425697': {'relevancy': True, 'rank': 38}, '2161373908': {'relevancy': True, 'rank': 39}, '2064927078': {'relevancy': True, 'rank': 40}, '2515564654': {'relevancy': False, 'rank': 41}, '2156460610': {'relevancy': False, 'rank': 42}, '2099325229': {'relevancy': False, 'rank': 43}, '657437189': {'relevancy': True, 'rank': 44}, '2097653880': {'relevancy': True, 'rank': 45}, '2070953463': {'relevancy': True, 'rank': 46}, '2001057030': {'relevancy': True, 'rank': 47}, '2126135973': {'relevancy': False, 'rank': 48}, '2082297574': {'relevancy': True, 'rank': 49}}"
4,Convex optimization,"{'2107142044': {'relevancy': True, 'rank': 0}, '122224463': {'relevancy': True, 'rank': 1}, '2170741153': {'relevancy': True, 'rank': 2}, '2300062457': {'relevancy': True, 'rank': 3}, '2169917266': {'relevancy': True, 'rank': 4}, '2139423477': {'relevancy': True, 'rank': 5}, '2280654194': {'relevancy': True, 'rank': 6}, '2293419568': {'relevancy': True, 'rank': 7}, '2302225927': {'relevancy': True, 'rank': 8}, '2379218101': {'relevancy': True, 'rank': 9}, '1483583928': {'relevancy': True, 'rank': 10}, '41028648': {'relevancy': False, 'rank': 11}, '2119837755': {'relevancy': True, 'rank': 12}, '2122088014': {'relevancy': True, 'rank': 13}, '1985097485': {'relevancy': False, 'rank': 14}, '2024808488': {'relevancy': True, 'rank': 15}, '2212735395': {'relevancy': True, 'rank': 16}, '2344913757': {'relevancy': True, 'rank': 17}, '284171264': {'relevancy': True, 'rank': 18}, '395389946': {'relevancy': True, 'rank': 19}, '2170359824': {'relevancy': True, 'rank': 20}, '2021565271': {'relevancy': True, 'rank': 21}, '2005193015': {'relevancy': False, 'rank': 22}, '2045477508': {'relevancy': True, 'rank': 23}, '2120339555': {'relevancy': True, 'rank': 24}, '2080198120': {'relevancy': True, 'rank': 25}, '156417696': {'relevancy': True, 'rank': 26}, '1995283894': {'relevancy': False, 'rank': 27}, '2524462901': {'relevancy': True, 'rank': 28}, '2127832880': {'relevancy': True, 'rank': 29}, '1423360909': {'relevancy': True, 'rank': 30}, '24573470': {'relevancy': True, 'rank': 31}, '186671743': {'relevancy': True, 'rank': 32}, '92438100': {'relevancy': True, 'rank': 33}, '2073631992': {'relevancy': True, 'rank': 34}, '1531155176': {'relevancy': True, 'rank': 35}, '2074453466': {'relevancy': True, 'rank': 36}, '1670727492': {'relevancy': False, 'rank': 37}, '2270386666': {'relevancy': False, 'rank': 38}, '240442997': {'relevancy': False, 'rank': 39}, '260113394': {'relevancy': False, 'rank': 40}, '2239320619': {'relevancy': True, 'rank': 41}, '2582639308': {'relevancy': False, 'rank': 42}, '2063941670': {'relevancy': True, 'rank': 43}, '2205446857': {'relevancy': True, 'rank': 44}, '236175242': {'relevancy': False, 'rank': 45}, '1983817179': {'relevancy': False, 'rank': 46}, '162253719': {'relevancy': True, 'rank': 47}, '2108490218': {'relevancy': True, 'rank': 48}, '2526074477': {'relevancy': True, 'rank': 49}}","{'2107142044': {'relevancy': True, 'rank': 0}, '122224463': {'relevancy': True, 'rank': 1}, '2170741153': {'relevancy': True, 'rank': 2}, '2300062457': {'relevancy': True, 'rank': 3}, '2169917266': {'relevancy': True, 'rank': 4}, '2139423477': {'relevancy': True, 'rank': 5}, '2280654194': {'relevancy': True, 'rank': 6}, '2293419568': {'relevancy': True, 'rank': 7}, '2302225927': {'relevancy': True, 'rank': 8}, '2379218101': {'relevancy': True, 'rank': 9}, '1483583928': {'relevancy': True, 'rank': 10}, '41028648': {'relevancy': True, 'rank': 11}, '2119837755': {'relevancy': True, 'rank': 12}, '2122088014': {'relevancy': True, 'rank': 13}, '1985097485': {'relevancy': True, 'rank': 14}, '2024808488': {'relevancy': True, 'rank': 15}, '2212735395': {'relevancy': True, 'rank': 16}, '2344913757': {'relevancy': True, 'rank': 17}, '284171264': {'relevancy': True, 'rank': 18}, '395389946': {'relevancy': True, 'rank': 19}, '2170359824': {'relevancy': True, 'rank': 20}, '2021565271': {'relevancy': True, 'rank': 21}, '2005193015': {'relevancy': True, 'rank': 22}, '2045477508': {'relevancy': True, 'rank': 23}, '2120339555': {'relevancy': True, 'rank': 24}, '2080198120': {'relevancy': True, 'rank': 25}, '156417696': {'relevancy': True, 'rank': 26}, '1995283894': {'relevancy': False, 'rank': 27}, '2524462901': {'relevancy': True, 'rank': 28}, '2127832880': {'relevancy': True, 'rank': 29}, '1423360909': {'relevancy': True, 'rank': 30}, '24573470': {'relevancy': True, 'rank': 31}, '186671743': {'relevancy': True, 'rank': 32}, '92438100': {'relevancy': True, 'rank': 33}, '2073631992': {'relevancy': True, 'rank': 34}, '1531155176': {'relevancy': True, 'rank': 35}, '2074453466': {'relevancy': True, 'rank': 36}, '1670727492': {'relevancy': True, 'rank': 37}, '2270386666': {'relevancy': True, 'rank': 38}, '240442997': {'relevancy': False, 'rank': 39}, '260113394': {'relevancy': True, 'rank': 40}, '2239320619': {'relevancy': True, 'rank': 41}, '2582639308': {'relevancy': True, 'rank': 42}, '2063941670': {'relevancy': True, 'rank': 43}, '2205446857': {'relevancy': True, 'rank': 44}, '236175242': {'relevancy': True, 'rank': 45}, '1983817179': {'relevancy': False, 'rank': 46}, '162253719': {'relevancy': True, 'rank': 47}, '2108490218': {'relevancy': True, 'rank': 48}, '2526074477': {'relevancy': True, 'rank': 49}}"
